blend_id,API,Sulphur,crude_AGB,crude_BOL,crude_CJB,crude_WCD,crude_QUI,crude_AME,crude_FOR,crude_ABO,crude_OK2,crude_ESC,crude_BOC,crude_BRL,crude_AKP,crude_ASC,crude_Total,crude_Gas & LPG,crude_Naptha ,crude_Kerosene,crude_Light Diesel,crude_Heavy Diesel,crude_RCO
CB65,42.8,0.1,0.13377926421404682,0.07357859531772575,0.0,0.04013377926421404,0.0,0.06688963210702341,0.0,0.0,0.0,0.0,0.0,0.016722408026755852,0.0,0.0,0.33444816053511706,0.01003344481605351,0.08093645484949832,0.061538461538461535,0.04949832775919732,0.03812709030100334,0.094314381270903
CB66,42.7,0.1,0.11978097193702944,0.0752908966461328,0.0,0.027378507871321015,0.0,0.07186858316221767,0.003422313483915127,0.0,0.0,0.0,0.0,0.017111567419575636,0.0,0.0,0.34257357973990415,0.010266940451745381,0.08281998631074607,0.06297056810403834,0.05099247091033539,0.03935660506502396,0.09616700889801508
CB01,43.1,0.1,0.13758389261744966,0.0738255033557047,0.0,0.020134228187919462,0.0,0.04697986577181208,0.003355704697986577,0.0,0.0,0.0,0.016778523489932886,0.0,0.030201342281879193,0.0,0.33557046979865773,0.010067114093959731,0.08154362416107383,0.06208053691275168,0.049999999999999996,0.038926174496644296,0.0929530201342282
CB02,43.6,0.1,0.13675783855903936,0.0733822548365577,0.0,0.01000667111407605,0.0,0.0033355570380253505,0.0033355570380253505,0.0,0.0,0.0,0.0200133422281521,0.0,0.08672448298865912,0.0,0.3332221480987325,0.01000667111407605,0.08138759172781855,0.06204136090727152,0.04969979986657772,0.03935957304869914,0.09072715143428954
CB03-CB04,36.5,0.1,0.05666666666666667,0.11,0.0033333333333333335,0.0,0.0,0.0033333333333333335,0.11,0.0,0.0033333333333333335,0.0,0.03333333333333333,0.0,0.013333333333333334,0.0,0.3333333333333333,0.005999999999999999,0.06466666666666666,0.05566666666666667,0.05266666666666667,0.043333333333333335,0.111
CB05,33.8,0.2,0.030100334448160536,0.026755852842809368,0.0,0.0,0.0,0.003344481605351171,0.21070234113712377,0.0,0.0,0.0,0.030100334448160536,0.0,0.030100334448160536,0.0,0.33444816053511706,0.005016722408026756,0.05050167224080268,0.0528428093645485,0.056187290969899675,0.04782608695652174,0.12207357859531773
CB06,36.6,0.1,0.0,0.0033333333333333335,0.0,0.13666666666666666,0.0,0.03,0.15333333333333335,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.3333333333333333,0.005333333333333333,0.059,0.05466666666666667,0.051333333333333335,0.042333333333333334,0.12066666666666666
CB07,40.0,0.1,0.0,0.006666666666666667,0.0,0.21666666666666667,0.0,0.03333333333333333,0.07666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.006333333333333333,0.07066666666666667,0.057666666666666665,0.04699999999999999,0.037333333333333336,0.11433333333333334
CB08,40.2,0.1,0.0,0.11295681063122924,0.0,0.17275747508305647,0.0,0.009966777408637873,0.03654485049833887,0.0,0.0,0.0,0.0033222591362126242,0.0,0.0,0.0,0.3322259136212624,0.005647840531561462,0.0787375415282392,0.05813953488372092,0.04584717607973422,0.03554817275747508,0.10830564784053155
CB09,40.6,0.1,0.010040160642570281,0.13052208835341367,0.0,0.1572958500669344,0.0,0.006693440428380187,0.02342704149933066,0.0,0.0,0.0,0.0033467202141900937,0.0,0.0,0.0,0.3343373493975904,0.006024096385542168,0.08132530120481928,0.05923694779116465,0.0461847389558233,0.035140562248995984,0.10642570281124498
CB10,41.3,0.1,0.02342704149933066,0.16733601070950468,0.0,0.13052208835341367,0.0,0.006693440428380187,0.0,0.0,0.0,0.0,0.0,0.0,0.0033467202141900937,0.0,0.3343373493975904,0.006358768406961178,0.08634538152610442,0.060240963855421686,0.045850066934404285,0.03413654618473896,0.10140562248995984
CB11,41.7,0.1,0.0,0.10367892976588627,0.0,0.20401337792642138,0.0,0.006688963210702341,0.006688963210702341,0.0,0.0,0.0,0.0,0.0,0.01003344481605351,0.0,0.33444816053511706,0.0063545150501672235,0.08361204013377926,0.059866220735785944,0.044481605351170565,0.033779264214046825,0.10635451505016721
CB12,41.5,0.1,0.0,0.1097804391217565,0.0,0.1996007984031936,0.0,0.0,0.013306719893546242,0.0,0.0,0.0,0.0,0.0,0.013306719893546242,0.0,0.3320026613439787,0.005988023952095809,0.0825016633399867,0.059214903526280775,0.044244843646041254,0.033932135728542916,0.10612109115103129
CB13,39.5,0.1,0.0,0.06693440428380187,0.0,0.1037483266398929,0.0,0.0,0.020080321285140562,0.0,0.107095046854083,0.02677376171352075,0.0,0.0,0.006693440428380187,0.0,0.3343373493975903,0.00535475234270415,0.0749665327978581,0.058232931726907626,0.04785809906291834,0.037148594377510044,0.1107764390896921
CB14,39.6,0.1,0.0,0.05666666666666667,0.0,0.11666666666666665,0.0,0.0033333333333333335,0.02,0.0,0.10666666666666667,0.02666666666666667,0.0,0.0,0.0033333333333333335,0.0,0.3333333333333333,0.005333333333333333,0.07433333333333333,0.057999999999999996,0.04766666666666666,0.037,0.111
CB15,39.6,0.1,0.0,0.05666666666666667,0.0,0.11666666666666665,0.0,0.0033333333333333335,0.02,0.0,0.10666666666666667,0.02666666666666667,0.0,0.0,0.0033333333333333335,0.0,0.3333333333333333,0.005333333333333333,0.07433333333333333,0.057999999999999996,0.04766666666666666,0.037,0.111
CB16,39.5,0.1,0.0,0.06358768406961178,0.0,0.11044176706827309,0.0,0.0033467202141900937,0.020080321285140562,0.0,0.107095046854083,0.02677376171352075,0.0,0.0,0.0,0.0,0.3343373493975903,0.00535475234270415,0.0749665327978581,0.058232931726907626,0.04785809906291834,0.03681392235609103,0.11111111111111112
CB17,38.9,0.1,0.0033200531208499337,0.10956175298804781,0.0,0.0697211155378486,0.0,0.0,0.0199203187250996,0.0,0.10624169986719788,0.02656042496679947,0.0,0.0,0.0,0.0,0.33233731739707834,0.0049800796812749,0.07602921646746348,0.05776892430278884,0.048140770252324036,0.036852589641434265,0.10856573705179283
CB18,38.9,0.1,0.0020060180541624875,0.11701771982614509,0.0,0.06352390504847877,0.0,0.0,0.013373453694416584,0.0,0.10698762955533267,0.026746907388833167,0.001671681711802073,0.0,0.0,0.0,0.33433634236041454,0.0050150451354062184,0.07689735874289536,0.05817452357071213,0.04847876964226011,0.037111334002006016,0.10865931126713474
CB19,39.6,0.1,0.0033333333333333335,0.12,0.0,0.09999999999999999,0.0,0.0,0.01,0.0,0.07666666666666667,0.02,0.0033333333333333335,0.0,0.0,0.0,0.3333333333333333,0.005333333333333333,0.07866666666666666,0.05833333333333333,0.04699999999999999,0.036,0.108
CB20,38.9,0.1,0.0033200531208499337,0.10956175298804781,0.0,0.0697211155378486,0.0,0.0,0.0199203187250996,0.0,0.10624169986719788,0.02656042496679947,0.0,0.0,0.0,0.0,0.33233731739707834,0.0049800796812749,0.07602921646746348,0.05776892430278884,0.048140770252324036,0.036852589641434265,0.10856573705179283
CB21,38.9,0.1,0.0020060180541624875,0.11701771982614509,0.0,0.06352390504847877,0.0,0.0,0.013373453694416584,0.0,0.10698762955533267,0.026746907388833167,0.001671681711802073,0.0,0.0,0.0,0.33433634236041454,0.0050150451354062184,0.07689735874289536,0.05817452357071213,0.04847876964226011,0.037111334002006016,0.10865931126713474
CB22,38.0,0.1,0.0033200531208499337,0.13280212483399734,0.0,0.099601593625498,0.0,0.0,0.006640106241699867,0.0,0.0,0.09296148738379816,0.0,0.0,0.0,0.0,0.33233731739707834,0.004648074369189907,0.07304116865869854,0.05677290836653387,0.04714475431606905,0.03652058432934927,0.11420982735723771
CB23,38.7,0.1,0.00200133422281521,0.12675116744496331,0.0,0.07004669779853234,0.0,0.00133422281521014,0.0,0.0,0.0733822548365577,0.0600400266844563,0.0,0.0,0.0,0.0,0.3332221480987325,0.00466977985323549,0.07638425617078051,0.05770513675783855,0.047698465643762504,0.03635757171447632,0.1104069379586391
CB24,37.2,0.1,0.0,0.013360053440213761,0.0,0.09686038744154976,0.0,0.0013360053440213762,0.0,0.0,0.0734802939211757,0.1469605878423514,0.0,0.0,0.0,0.0,0.33400133600534404,0.004342017368069473,0.06279225116900468,0.05577822311289246,0.04843019372077488,0.03874415497661991,0.12391449565798264
CB25,37.4,0.1,0.008002667555851951,0.060020006668889625,0.0,0.09336445481827277,0.0,0.0006668889629876625,0.0,0.0,0.03334444814938313,0.13671223741247082,0.0,0.0,0.0016672224074691564,0.0,0.3331110370123374,0.004334778259419806,0.06635545181727243,0.056018672890963656,0.048016005335111696,0.038012670890296765,0.12037345781927308
CB26,36.9,0.1,0.00666000666000666,0.05994005994005994,0.0,0.07659007659007659,0.0,0.000333000333000333,0.0,0.0,0.033300033300033303,0.15318015318015318,0.0,0.0,0.00333000333000333,0.0,0.33333333333333326,0.004329004329004329,0.06460206460206461,0.055611055611055615,0.048618048618048616,0.03862803862803863,0.12154512154512154
CB27,36.8,0.1,0.008002667555851951,0.06668889629876626,0.0,0.07002334111370456,0.0,0.0,0.0,0.0,0.03334444814938313,0.1533844614871624,0.0,0.0,0.0023341113704568187,0.0,0.3331110370123374,0.0040013337779259755,0.06468822940980326,0.05568522840946982,0.04868289429809936,0.03867955985328443,0.12137379126375458
Average,39.38571428571429,0.10357142857142862,0.02452026857803909,0.08372192870517238,0.00011926200670252476,0.09421698529499456,0.0,0.010745506803897482,0.02874214361530847,0.0,0.04221875037269377,0.03494376796383975,0.0044126942479934175,0.0011926200670252477,0.007418096816897041,0.0,0.3338739877637181,0.005939247933785734,0.07409748476427863,0.05808059726412954,0.04834881751720353,0.03778220372335986,0.1096256365609608
