blend_id,API,Sulphur,crude_AGB,crude_BOL,crude_CJB,crude_WCD,crude_QUI,crude_AME,crude_FOR,crude_ABO,crude_OK2,crude_ESC,crude_BOC,crude_BRL,crude_AKP,crude_ASC,crude_AGO,crude_YOH,crude_OKW,crude_ERH,crude_PAZ,crude_Nembe,crude_Utapate,crude_Total,crude_Gas & LPG,crude_Naptha ,crude_Kerosene,crude_Light Diesel,crude_Heavy Diesel,crude_RCO
CB32,35.0,1345.0,0.0,0.09816360601001668,0.050083472454090144,0.01669449081803005,0.00667779632721202,0.0691151919866444,0.07412353923205342,0.0,0.0,0.000667779632721202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01669449081803005,0.0,0.0,0.333889816360601,0.008347245409015025,0.06544240400667779,0.05208681135225376,0.047078464106844735,0.047412353923205336,0.11352253756260434
CB01,34.6,1259.7,0.0,0.0,0.05344378381989445,0.013360945954973613,0.05678402030863786,0.06680472977486807,0.07014496626361147,0.0,0.0,0.0006012425679738126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033402364887434033,0.0,0.06680472977486807,0.0,0.33435767252321463,0.006346449328612466,0.06279644598837598,0.05244171287327143,0.047431358140156324,0.049435500033402364,0.11590620615939609
CB02,34.2,1253.5,0.0,0.11570523507835946,0.043347782594198074,0.0066688896298766264,0.05335111703901301,0.02000666888962988,0.02000666888962988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066688896298766264,0.0,0.06668889629876627,0.0,0.33377792597532513,0.00766922307435812,0.06335445148382796,0.05135045015005002,0.04668222740913639,0.0480160053351117,0.11670556852284095
CB03,34.4,1420.2,0.0,0.03548711081352528,0.026782725142283227,0.006695681285570807,0.02008704385671242,0.008704385671242048,0.08871777703381319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08369601606963509,0.0,0.0033478406427854034,0.026782725142283227,0.03013056578506863,0.0,0.33478406427854035,0.006026113157013725,0.06260462002008704,0.05189152996317375,0.04686976899899565,0.049548041513223964,0.11784399062604618
CB03 Rev,35.4,1234.3,0.0,0.03346720214190094,0.02677376171352075,0.006693440428380187,0.02342704149933066,0.010040160642570281,0.07362784471218206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.107095046854083,0.0,0.0033467202141900937,0.013386880856760375,0.03346720214190094,0.0,0.3343373493975904,0.006358768406961178,0.07095046854082998,0.04852744310575636,0.04685408299866132,0.04919678714859437,0.11244979919678716
CB04,35.0,1294.0,0.0,0.03303303303303304,0.026693360026693362,0.0066733400066733405,0.03003003003003003,0.009342676009342677,0.07340674007340674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09342676009342678,0.0,0.0033366700033366703,0.016683350016683352,0.04004004004004004,0.0,0.33366700033366703,0.006006006006006006,0.06906906906906907,0.04804804804804805,0.04671338004671339,0.055722389055722396,0.10810810810810811
CB05,36.0,1305.5,0.0,0.03563103563103563,0.016650016650016652,0.00666000666000666,0.0,0.07592407592407592,0.06593406593406594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08325008325008325,0.0,0.00333000333000333,0.02664002664002664,0.01998001998001998,0.0,0.333000333000333,0.007326007326007325,0.07259407259407259,0.04828504828504828,0.04628704628704629,0.05328005328005328,0.10522810522810523
CB06,37.0,1070.7,0.0,0.005999999999999999,0.002,0.001,0.013666666666666667,0.04,0.03233333333333333,0.0,0.064,0.0,0.0,0.0,0.0,0.0,0.0,0.014,0.0,0.0,0.001,0.09866666666666667,0.06066666666666667,0.3333333333333333,0.006333333333333333,0.08066666666666666,0.04699999999999999,0.045000000000000005,0.051,0.10333333333333333
CB07,37.5,1040.7,0.0,0.006331222925691436,0.0026657780739753416,0.000999666777740753,0.012329223592135955,0.04631789403532156,0.02999000333222259,0.0,0.06431189603465512,0.0,0.0,0.0,0.0,0.0,0.0,0.013995334888370544,0.0,0.0,0.000999666777740753,0.08897034321892704,0.06664445184938354,0.33322225924691773,0.006664445184938354,0.08263912029323559,0.04698433855381539,0.04465178273908697,0.05064978340553149,0.1016327890703099
CB08,38.7,956.2,0.0,0.12495834721759413,0.007997334221926024,0.002332555814728424,0.0003332222592469177,0.04365211596134622,0.016661112962345886,0.0,0.05531489503498834,0.0,0.0,0.0,0.0,0.0,0.0,0.013995334888370544,0.0,0.0,0.000999666777740753,0.06731089636787738,0.0,0.33322225924691773,0.009330223258913696,0.08963678773742087,0.05931356214595135,0.032989003665444855,0.048317227590803064,0.09363545484838388
CB09,39.8,889.9,0.0,0.08497167610796402,0.006997667444185272,0.001999333555481506,0.0003332222592469177,0.0563145618127291,0.013662112629123627,0.0,0.06497834055314895,0.0,0.0,0.0,0.0,0.0,0.0,0.016994335221592802,0.0,0.0,0.0013328890369876708,0.08530489836721093,0.0,0.3335554815061646,0.009330223258913696,0.09396867710763078,0.059646784405198265,0.03232255914695102,0.04765078307230923,0.09063645451516163
CB09 Rev,36.4,1327.9,0.0,0.11912640635340832,0.006618133686300463,0.0033090668431502313,0.0,0.02647253474520185,0.04301786896095301,0.0,0.07610853739245532,0.0,0.0,0.0,0.0,0.0,0.0,0.006618133686300463,0.0,0.0033090668431502313,0.02978160158835208,0.0,0.02316346790205162,0.3312375909993382,0.00827266710787558,0.07776307081403043,0.057246856386499,0.03375248180013236,0.04963600264725347,0.10456651224354731
CB10,35.2,1475.0,0.0,0.1229180546302465,0.01132578281145903,0.0013324450366422385,0.0,0.0,0.05229846768820787,0.0,0.048967355096602265,0.0,0.0,0.0,0.0,0.0,0.0,0.034310459693537645,0.0,0.003997335109926716,0.041305796135909394,0.0,0.017321785476349102,0.33311125916055967,0.007661558960692872,0.072618254497002,0.0569620253164557,0.03397734843437708,0.051632245169886744,0.11025982678214526
CB11,36.4,1387.9,0.0,0.08502834278092697,0.007002334111370457,0.0020006668889629878,0.00033344448149383126,0.05635211737245749,0.013671223741247083,0.0,0.0650216738912971,0.0,0.0,0.0,0.0,0.0,0.0,0.017005668556185394,0.0,0.0,0.001333777925975325,0.0,0.0853617872624208,0.33344448149383127,0.007669223074358119,0.07802600866955652,0.05701900633544515,0.033011003667889297,0.050683561187062354,0.10703567855951984
CB12,37.1,1279.3,0.0,0.09698996655518394,0.006688963210702341,0.0,0.0,0.0,0.033444816053511704,0.0,0.05016722408026755,0.0,0.0,0.0,0.0,0.0,0.0,0.05351170568561873,0.0,0.0033444816053511705,0.033444816053511704,0.0,0.05351170568561873,0.33444816053511706,0.008026755852842809,0.08160535117056855,0.04648829431438127,0.04414715719063545,0.05016722408026755,0.1040133779264214
CB13,37.6,1021.0,0.0,0.09698996655518395,0.006688963210702342,0.0,0.003344481605351171,0.0,0.06020066889632107,0.0,0.05016722408026756,0.0,0.0,0.0,0.0,0.0,0.0,0.053511705685618735,0.0,0.0,0.0,0.006688963210702342,0.053511705685618735,0.33444816053511706,0.00802675585284281,0.08394648829431439,0.048160535117056855,0.04581939799331104,0.05150501672240803,0.09698996655518395
CB14,37.8,999.9,0.0,0.079026342114038,0.008002667555851951,0.0,0.0040013337779259755,0.001333777925975325,0.05968656218739579,0.0,0.06635545181727243,0.0,0.0,0.0,0.0,0.0,0.0,0.060020006668889625,0.0,0.00033344448149383126,0.0006668889629876625,0.0056685561853951315,0.04868289429809936,0.33311103701233746,0.007669223074358119,0.08436145381793932,0.04834944981660553,0.045681893964654885,0.05101700566855618,0.09603201067022339
CB15,36.4,1056.6,0.0,0.08644859813084113,0.0,0.0,0.004005340453938585,0.08377837116154874,0.05941255006675567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02102803738317757,0.0,0.0003337783711615487,0.0006675567423230974,0.029706275033377836,0.048397863818424564,0.33311081441922563,0.007676902536715621,0.07977303070761015,0.048397863818424564,0.046395193591455275,0.0520694259012016,0.09879839786381842
CB16,38.0,1027.6,0.0,0.0133422281521014,0.0066711140760507,0.0,0.00333555703802535,0.1467645096731154,0.0733822548365577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03002001334222815,0.0600400266844563,0.3332221480987325,0.00800533689126084,0.08272181454302868,0.04903268845897264,0.046364242828552366,0.051701134089392926,0.09539693128752501
CB17,36.2,1145.2,0.0,0.15060240963855423,0.0,0.0,0.0033467202141900937,0.0,0.07028112449799197,0.0,0.09370816599732264,0.0,0.0,0.0,0.0,0.0,0.0,0.0033467202141900937,0.0,0.0,0.0,0.0033467202141900937,0.006693440428380187,0.3343373493975904,0.008366800535475234,0.0783132530120482,0.047523427041499325,0.047523427041499325,0.05120481927710843,0.10140562248995984
CB18,37.2,1077.0,0.0,0.11984021304926763,0.0,0.0,0.0013315579227696406,0.006657789613848202,0.05659121171770973,0.0,0.12649800266311584,0.0,0.0,0.0,0.0,0.0,0.0,0.003328894806924101,0.0,0.0,0.0,0.009986684420772303,0.009986684420772303,0.33288948069241014,0.008322237017310254,0.08222370173102529,0.05026631158455393,0.04360852197070573,0.0496005326231691,0.0988681757656458
CB19,35.8,1162.9,0.0,0.1838774150566289,0.0,0.0,0.0013324450366422385,0.0076615589606928705,0.05629580279813458,0.0,0.06295802798134577,0.0,0.0,0.0,0.0,0.0,0.0,0.004330446369087275,0.0,0.0,0.0,0.009327115256495669,0.007328447701532311,0.3334443704197202,0.008994003997335109,0.07661558960692871,0.04996668887408394,0.04430379746835443,0.05129913391072618,0.10226515656229179
CB20,37.3,1021.5,0.0,0.06835611870623541,0.04734911637212404,0.0,0.0010003334444814939,0.07869289763254417,0.04634878292764255,0.0,0.058352784261420466,0.0,0.0,0.0,0.0,0.0,0.0,0.014671557185728575,0.0,0.0,0.0,0.008002667555851951,0.010336778926308769,0.33344448149383127,0.009003001000333443,0.08069356452150717,0.05201733911303768,0.04334778259419807,0.05101700566855618,0.09736578859619872
Average,36.47826086956521,1176.1521739130437,0.0,0.0781236404137203,0.015807456478736798,0.0033210160858997487,0.010383613613555547,0.03714027159820636,0.05142499144367035,0.0,0.04120090262026718,5.510856387082553e-05,0.0,0.0,0.0,0.0,0.0,0.030324212382604243,0.0,0.0015082343796225931,0.00920893106788795,0.03044023041180599,0.023986727537459323,0.33353733170134636,0.007715198941915577,0.07706497589725445,0.05117845313161665,0.04307169334114521,0.05051134946370665,0.10399566092570785
