date,Light_Diesel_to_DHT_Unit_Flowrate,Total_Kerosene_Product_Flowrate,Kerosene_to_Light_Diesel_DHT_Flowrate,Total_Atmospheric_Residue_Flowrate,Atm_Residue_to_RFCC_Unit_Flowrate,Atm_Residue_to_Storage_Flowrate,Total_Heavy_Diesel_Product_Flowrate,Total_Light_Diesel_Product_Flowrate,Crude_Column_Naphtha_to_SGCU_Flowrate,Heavy_Diesel_to_MHC_Flowrate,Atm_Residue_to_Storage_EE1027_Flowrate,Total_Stabilized_Naphtha_Product_Flowrate,Jet_Fuel_Product_Train1_Flowrate,Blend_Yield_Gas & LPG,Blend_Yield_Kerosene,Blend_Yield_Light Diesel,Blend_Yield_Heavy Diesel,Blend_Yield_RCO
2025-07-01,348.84633216838284,636.411417478452,144.0476931121273,1038.1932361202953,370.8872900380439,603.2822874013491,478.4720611592283,506.6266461867773,874.75651853597,471.28825665674174,23.50259330701293,1205.64691765469,343.29299748840464,0.023453895071542132,0.18751987281399046,0.10388712241653417,0.13293322734499205,0.2863434022257552
2025-07-02,324.7222370354094,555.6485293149108,144.04564653073595,1138.3034138715761,393.4465434539763,681.4965538116683,456.2005992261284,491.1850552482219,889.1824745922852,429.94228626378407,27.927556135454118,1212.0300222432868,299.8995190464617,0.023453895071542132,0.18751987281399046,0.10388712241653417,0.13293322734499205,0.2863434022257552
2025-07-03,328.27928148184316,570.6147091961238,144.04904851854226,1241.8100540404755,442.2673491248228,736.5688405500389,415.5390795463871,442.03791233682784,848.4979575873481,387.3468931880769,32.86878815114657,1161.0386895648223,297.7876519869591,0.023453895071542132,0.18751987281399046,0.10388712241653417,0.13293322734499205,0.2863434022257552
2025-07-04,352.5286793862124,582.9575180632261,144.098205979695,1205.7442289046467,499.1410204593222,641.3115721573441,411.80142976689126,454.7802424043468,885.2616896742079,388.01476124400017,33.16978133426928,1213.4592538742675,305.04776243546246,0.023453895071542132,0.18751987281399046,0.10388712241653417,0.13293322734499205,0.2863434022257552
2025-07-05,364.17340061957464,635.8304053799142,144.07720466883111,1106.8706718594588,497.89815930481524,541.8451158472132,470.6233753606486,487.679373052508,846.7562822756619,432.6906193630474,28.271299477019483,1177.2798202435151,375.5664761078633,0.023453895071542132,0.18751987281399046,0.10388712241653417,0.13293322734499205,0.2863434022257552
2025-07-06,388.5053489471209,652.184453459737,144.07537731322955,1101.0342212233277,496.9062063134094,540.2289080206525,471.87722078086716,483.6096126162622,839.7743367475043,454.6648996018693,26.306570515450762,1178.4709903516725,449.59693103938525,0.023453895071542132,0.18751987281399046,0.10388712241653417,0.13293322734499205,0.2863434022257552
2025-07-07,351.9675712234158,651.1259159888186,144.06840084699652,1103.379805810337,490.9028721113443,550.8396329768428,484.2858511999863,458.8012002250533,848.1922233151585,503.03383324825404,24.98617286913853,1174.266502808412,453.90816629190857,0.023453895071542132,0.18751987281399046,0.10388712241653417,0.13293322734499205,0.2863434022257552
2025-07-08,401.5247994607205,666.0464599711368,144.0617410230887,1087.4097303239441,497.30164280327864,532.9458349053277,496.07623928103357,456.7125368735754,844.848410563151,517.0246192695337,21.071451212780715,1168.7870740208605,409.3070810262938,0.023453895071542132,0.18751987281399046,0.10388712241653417,0.13293322734499205,0.2863434022257552
2025-07-09,425.5475910872396,676.2886211811685,144.08271590691518,1058.1945561632958,496.16932292819774,503.3544859977666,485.18195381692607,478.5799289942643,860.5250857902018,491.00695393513735,21.71171529367515,1165.0324089606881,387.10861953501643,0.023453895071542132,0.18751987281399046,0.10388712241653417,0.13293322734499205,0.2863434022257552
2025-07-10,452.7251132297092,667.3109964728166,144.06997403063076,1039.1124422945152,500.1001282663961,486.5636503805881,485.51663788632044,523.5330231601632,844.5946519604493,478.85986816656975,18.033481944476975,1151.2072674995904,382.0007113890292,0.023453895071542132,0.18751987281399046,0.10388712241653417,0.13293322734499205,0.2863434022257552
2025-07-11,417.1982842617911,695.4894494960422,144.07355708723497,1007.4859311524832,500.0370209038658,457.8118009627731,486.82092324902214,504.8147894925685,867.5103646267361,496.56148736343664,16.54965231252827,1176.3345858260834,397.67527914672684,0.023453895071542132,0.18751987281399046,0.10388712241653417,0.13293322734499205,0.2863434022257552
2025-07-12,432.4835177870009,704.7773365211474,144.07230955544097,995.5978598451226,512.1682715043835,439.837242955051,461.1552423795825,485.25065705922157,915.1513466064453,484.040707666111,12.878287095074295,1262.3106182396155,404.1017344912948,0.023453895071542132,0.18751987281399046,0.10388712241653417,0.13293322734499205,0.2863434022257552
2025-07-13,405.1736309067564,664.0245566013201,144.06434822908997,945.2523790022562,479.537196325685,425.40486671142577,397.3334089289035,452.00635324981965,953.3883737494575,417.1005698343906,8.916925990887501,1274.5751430311793,379.7522058581987,0.023453895071542132,0.18751987281399046,0.10388712241653417,0.13293322734499205,0.2863434022257552
2025-07-14,330.97509801757815,539.6183039063941,144.07109645812636,850.8314593235067,345.2161359381788,467.47634695647065,341.3267280416065,367.33931351133543,783.4895936971029,357.33436723694365,8.76782218566706,1079.2481608540127,278.4440294553067,0.023453895071542132,0.18751987281399046,0.10388712241653417,0.13293322734499205,0.2863434022257552
2025-07-15,339.2959349687138,565.2131219235738,144.055710755469,913.5149591393589,439.11448341573106,432.25926229844833,378.00777361045976,377.4691427203029,788.1149057747396,396.72770393509387,11.650146238393472,1088.617129804331,288.02089630818216,0.023453895071542132,0.18751987281399046,0.10388712241653417,0.13293322734499205,0.2863434022257552
2025-07-16,354.72852007939093,591.0400356853951,144.0593986783332,899.2155176136575,529.9511790432385,322.21012656105324,484.3288415604751,409.0313593912828,836.9385169235569,497.37685801654555,12.935553637884192,1138.7536204901326,281.6793995855564,0.023453895071542132,0.18751987281399046,0.10388712241653417,0.13293322734499205,0.2863434022257552
2025-07-17,353.5556171842448,608.9094157393959,144.06222771747753,934.588840780296,615.9831162163589,264.79079569697626,502.4635203093543,408.0653572349311,846.5244314889866,528.566992356774,16.47203831979694,1155.1883196180268,277.5544528814126,0.023453895071542132,0.18751987281399046,0.10388712241653417,0.13293322734499205,0.2863434022257552
2025-07-18,368.2162711469184,655.6804367458244,144.06420420694695,968.284183724506,641.3329797142874,263.49656155775284,521.5288278153976,432.81539635667883,892.2940981534831,548.5606738627062,20.625793720341925,1219.9759445577236,299.829068415028,0.023453895071542132,0.18751987281399046,0.10388712241653417,0.13293322734499205,0.2863434022257552
2025-07-19,375.4729351175492,666.9940782612598,144.07082907320608,987.1773700677317,633.9912831739675,298.1276133979402,541.8438583934901,457.3239053993979,860.6205715538194,545.3217366258224,12.990756311340913,1173.5463091301656,305.45691126578816,0.023453895071542132,0.18751987281399046,0.10388712241653417,0.13293322734499205,0.2863434022257552
2025-07-20,315.36688252423323,595.9222409806199,144.05889752619055,913.787475537099,569.5316367892823,289.3909211858453,450.6676781466637,434.964531138097,771.8510672854275,387.1763858526178,15.569789662939279,1013.4630860761135,280.88203720699954,0.023453895071542132,0.18751987281399046,0.10388712241653417,0.13293322734499205,0.2863434022257552
2025-07-21,61.515625,509.2731610577226,144.04745662917185,770.7222675495262,507.70438013508897,220.28292617725515,390.17560150266456,323.5829617030308,695.6467803100586,0.07421875,7.0319829942395415,871.3204630015159,267.1360282324155,0.023453895071542132,0.18751987281399046,0.10388712241653417,0.13293322734499205,0.2863434022257552
2025-07-22,81.28615064670139,527.5874123235822,144.03091780169942,816.1802363374456,543.1346362765856,233.70324419284395,417.24663722465516,316.7800372663014,717.6730187839084,50.97502955226754,8.162406993333637,931.6986889222728,256.4960473987032,0.023453895071542132,0.18751987281399046,0.10388712241653417,0.13293322734499205,0.2863434022257552
2025-07-23,271.31604380533855,519.9995839163784,144.0448983495712,762.6150589918607,580.162022466702,141.90182888219763,434.2979789779532,309.99671484683233,759.5596389027236,361.3597287639184,6.940089755223025,1004.3531689710865,252.06485412762834,0.023453895071542132,0.18751987281399046,0.10388712241653417,0.13293322734499205,0.2863434022257552
2025-07-24,280.18644812319155,513.7575796327017,144.0505698470005,750.8706314689139,526.4201562900151,178.4245242811415,439.4084138184563,309.49855133098544,771.4684993470595,412.4815041816786,9.400098292997798,1018.8279056785157,239.82169701543367,0.023453895071542132,0.18751987281399046,0.10388712241653417,0.13293322734499205,0.2863434022257552
