date,Total_Kerosene_Product_Flowrate,Total_Atmospheric_Residue_Flowrate,Atm_Residue_to_Storage_Flowrate,Total_Heavy_Diesel_Product_Flowrate,Total_Light_Diesel_Product_Flowrate,Atm_Residue_to_Storage_EE1027_Flowrate,Total_Stabilized_Naphtha_Product_Flowrate,Jet_Fuel_Product_Train1_Flowrate,Blend_Yield_Gas & LPG,Blend_Yield_Kerosene,Blend_Yield_Light Diesel,Blend_Yield_Heavy Diesel,Blend_Yield_RCO
2024-08-01,363.026989054286,680.229178077685,629.562689560631,279.834551334821,399.997733877885,55.0064077555155,494.300148502797,0.0,0.017730769230769234,0.18873076923076923,0.13426923076923078,0.13133076923076925,0.3211923076923077
2024-08-02,370.107628696812,663.996786329145,629.124782746476,301.451223873973,374.00071734566,45.7682189842451,500.870503544082,0.0,0.017730769230769234,0.18873076923076923,0.13426923076923078,0.13133076923076925,0.3211923076923077
2024-08-03,380.032670303225,737.225729229073,682.652337133268,195.855011609489,331.963548738759,52.4608102321066,491.379804881127,0.0,0.017730769230769234,0.18873076923076923,0.13426923076923078,0.13133076923076925,0.3211923076923077
2024-08-04,374.978985244751,711.39073696817,656.027715871452,200.39345015723,294.339933663229,51.0031866658723,454.045242618357,0.0,0.017730769230769234,0.18873076923076923,0.13426923076923078,0.13133076923076925,0.3211923076923077
2024-08-05,374.998543880198,673.381911291224,621.389844093874,207.663745607537,314.323543193752,48.4410286152581,471.197518680165,0.0,0.017730769230769234,0.18873076923076923,0.13426923076923078,0.13133076923076925,0.3211923076923077
2024-08-06,376.469795429514,630.239989813075,589.061064583407,236.376501107036,320.019962645248,45.1127021481682,469.780505715478,0.0,0.017730769230769234,0.18873076923076923,0.13426923076923078,0.13133076923076925,0.3211923076923077
2024-08-07,379.999747580324,648.248456131803,619.491710700198,212.252451163682,319.953568600081,37.0315675801007,491.025513070148,0.0,0.017730769230769234,0.18873076923076923,0.13426923076923078,0.13133076923076925,0.3211923076923077
2024-08-08,375.257011999506,682.340055329034,641.729071241557,202.976567713207,320.590314792033,41.2292770030401,491.573630457272,0.0,0.017730769230769234,0.18873076923076923,0.13426923076923078,0.13133076923076925,0.3211923076923077
2024-08-09,377.658971825904,636.192922053983,613.612033458806,223.814491890545,323.358608785706,37.0569463066658,521.135275695973,0.0,0.017730769230769234,0.18873076923076923,0.13426923076923078,0.13133076923076925,0.3211923076923077
2024-08-10,396.658103918839,708.11516713381,671.247983624195,202.190471270369,327.90372591058,42.4116119749658,540.06705782569,0.0,0.017730769230769234,0.18873076923076923,0.13426923076923078,0.13133076923076925,0.3211923076923077
2024-08-11,431.299669969863,679.885643574375,647.652349000932,224.958214280051,362.018192852666,40.5740836452787,629.67516289736,0.0,0.017730769230769234,0.18873076923076923,0.13426923076923078,0.13133076923076925,0.3211923076923077
2024-08-12,424.393175513008,670.00940100553,640.692419316109,200.250493555131,387.901330599401,39.8029351642091,670.060540513061,0.0,0.017730769230769234,0.18873076923076923,0.13426923076923078,0.13133076923076925,0.3211923076923077
2024-08-13,397.373201640153,685.894276212667,649.858706032829,209.098219775179,371.17910672229,41.2525004336038,538.083706917101,0.0,0.017730769230769234,0.18873076923076923,0.13426923076923078,0.13133076923076925,0.3211923076923077
2024-08-14,388.13970166113,696.491813692787,656.85922843318,195.292596108036,355.372300906274,42.1701192046415,485.033278280517,0.0,0.017730769230769234,0.18873076923076923,0.13426923076923078,0.13133076923076925,0.3211923076923077
2024-08-15,378.295878543012,605.064553090151,583.458350027478,261.403560497808,360.156166955973,35.0154199308517,488.716669691447,0.0,0.017730769230769234,0.18873076923076923,0.13426923076923078,0.13133076923076925,0.3211923076923077
2024-08-16,387.577153459814,549.985370860154,550.935585709447,285.862510048433,370.160021386023,24.3738799905173,515.023112082805,0.0,0.017730769230769234,0.18873076923076923,0.13426923076923078,0.13133076923076925,0.3211923076923077
2024-08-17,390.003693382043,576.027963983844,574.377105355028,242.296791949577,365.403345387052,25.1463878706888,545.386054712376,0.0,0.017730769230769234,0.18873076923076923,0.13426923076923078,0.13133076923076925,0.3211923076923077
2024-08-18,377.129649123045,641.147089975111,623.871970877557,242.253052674185,365.705673953887,30.1949440454434,494.25035168082,0.0,0.017730769230769234,0.18873076923076923,0.13426923076923078,0.13133076923076925,0.3211923076923077
2024-08-19,369.525682142248,695.833134512638,679.288556139893,238.5785056776,350.000948389034,33.3931319054375,459.833160867974,0.0,0.017730769230769234,0.18873076923076923,0.13426923076923078,0.13133076923076925,0.3211923076923077
2024-08-20,374.613870375918,711.830009933362,675.519445250935,247.347006582238,350.089496543661,41.5966228465597,457.445304210341,0.0,0.017730769230769234,0.18873076923076923,0.13426923076923078,0.13133076923076925,0.3211923076923077
2024-08-21,382.962293412921,665.957796824439,617.755962883362,223.449138576027,357.388112774921,46.61945661699,465.643068325638,0.0,0.017730769230769234,0.18873076923076923,0.13426923076923078,0.13133076923076925,0.3211923076923077
2024-08-22,376.579871345177,705.186459147009,653.734804178732,201.203798032751,339.99935872658,49.4374477279509,475.695313584099,0.0,0.017730769230769234,0.18873076923076923,0.13426923076923078,0.13133076923076925,0.3211923076923077
2024-08-23,381.236649481129,622.37114640344,587.60386682602,238.210148617839,339.999875051381,42.5770902797398,531.793920407213,0.0,0.017730769230769234,0.18873076923076923,0.13426923076923078,0.13133076923076925,0.3211923076923077
2024-08-24,373.367328249059,635.299877918594,596.87899988706,265.067120650112,340.105759156275,43.1287478533907,501.781967901343,0.0,0.017730769230769234,0.18873076923076923,0.13426923076923078,0.13133076923076925,0.3211923076923077
