date,Train_A_Raw_Crude_Flow,Train_B_Raw_Crude_Flow,Rich_Sponge_Oil_Flash_Drum_Bottoms_to_CDU,Rich_Gas_Knockout_Drum_Liquid_to_CDU
2024-08-01,1135.93041283557,1101.34491309562,14.6441672110079,0.0
2024-08-02,1132.75022854023,1110.27582441949,14.9435390967241,0.0
2024-08-03,1091.97272411662,1064.89157914489,15.3731583143434,0.0
2024-08-04,1054.69282873174,1019.75315839674,16.5427191390022,0.0
2024-08-05,1056.91250234337,1020.01448051849,15.8939619254213,0.0
2024-08-06,1056.34729417514,1013.6447796289,16.0398295673105,0.0
2024-08-07,1059.7425883403,1017.69698684544,19.9100258290284,0.0
2024-08-08,1071.45621778081,1032.82726824328,19.1117483163534,0.0
2024-08-09,1067.3969182228,1037.83373632124,17.8426596219122,0.0
2024-08-10,1095.87644130322,1104.8576763297,14.40569844983,0.0
2024-08-11,1165.52207826805,1181.09917774552,14.5448709009217,0.0
2024-08-12,1160.81377430018,1193.32514142079,24.1129147712311,0.0
2024-08-13,1132.16035147598,1087.7843114423,15.3786709458234,0.0
2024-08-14,1119.21102058521,1031.27427369915,17.9594851244137,0.0
2024-08-15,1110.19207528779,1040.37481139826,16.5590022856856,0.0
2024-08-16,1098.05148345798,1057.15045489488,14.3660408469614,0.0
2024-08-17,1085.63500294065,1065.35959010647,14.5773687652953,0.0
2024-08-18,1090.96039423142,1053.27407056129,14.3909009489619,0.525727117028918
2024-08-19,1090.57827490275,1049.78888789561,14.6230155229405,0.540210218075227
2024-08-20,1100.0539621229,1059.52114392856,19.8850673132318,0.546481528667977
2024-08-21,1078.81507025699,1045.06612163993,24.3003440759433,0.566580208589206
2024-08-22,1076.7158466939,1052.38215701863,16.4136911707609,0.0
2024-08-23,1084.78025623594,1053.55407177529,15.0073954374528,0.0
2024-08-24,1095.39641192292,1053.92725624007,15.4809258777627,0.0
2024-08-25,1096.80509891987,1058.86555532587,15.3660808474985,0.553545663986848
2024-08-26,1088.11374162689,1066.53038375597,17.4274831617246,0.549184454005945
2024-08-27,1079.8644932085,1050.17403029607,16.3775284598716,0.567288568772077
2024-08-28,926.020608274051,910.20213108688,15.2506631144341,0.528006402556652
2024-08-29,1074.3378931506,1049.70445822298,15.4714635879704,0.52456768991825
2024-08-30,1102.21083842211,1095.44886234592,15.9950107741376,0.573045239447241
2024-08-31,1099.82949099089,1072.03669613561,16.4734930792327,0.713525902154711
2024-09-01,1016.09787302996,942.438524516004,20.2041700098195,0.800600946615099
