blend_id,API,Sulphur,crude_AGB,crude_BOL,crude_CJB,crude_WCD,crude_QUI,crude_AME,crude_FOR,crude_ABO,crude_OK2,crude_ESC,crude_BOC,crude_BRL,crude_AKP,crude_ASC,crude_Total,crude_Gas & LPG,crude_Naptha ,crude_Kerosene,crude_Light Diesel,crude_Heavy Diesel,crude_RCO
CB01,35.2,0.1,0.0,0.016666666666666666,0.0,0.05666666666666667,0.0,0.05666666666666667,0.18000000000000002,0.0033333333333333335,0.0,0.016666666666666666,0.0,0.0033333333333333335,0.0,0.0,0.3333333333333333,0.005333333333333333,0.05666666666666667,0.06033333333333333,0.04933333333333333,0.049666666666666665,0.112
CB02,38.2,0.1,0.0,0.0033377837116154874,0.0,0.07476635514018692,0.0,0.1335113484646195,0.06008010680907877,0.0033377837116154874,0.0,0.05674232309746329,0.0,0.0,0.0,0.0,0.33411214953271035,0.007009345794392524,0.0664218958611482,0.06341789052069426,0.04606141522029373,0.045060080106809085,0.10614152202937249
CB03,39.0,0.1,0.0,0.0033333333333333335,0.0,0.09333333333333334,0.0,0.13333333333333333,0.043333333333333335,0.006666666666666667,0.0,0.05333333333333334,0.0,0.0,0.0,0.0,0.3333333333333333,0.007333333333333333,0.06899999999999999,0.06366666666666666,0.045000000000000005,0.043666666666666666,0.10466666666666667
CB04,38.9,0.1,0.0,0.0,0.0,0.07362784471218206,0.0,0.09370816599732264,0.0,0.030120481927710843,0.0033467202141900937,0.050200803212851405,0.0,0.08032128514056225,0.0,0.0,0.3343373493975904,0.006358768406961178,0.071285140562249,0.06526104417670683,0.045180722891566265,0.04384203480589023,0.10240963855421686
CB05,39.0,0.1,0.0,0.0,0.0,0.08026755852842808,0.0,0.08695652173913043,0.0,0.033444816053511704,0.0033444816053511705,0.04682274247491639,0.0,0.08026755852842808,0.0,0.0,0.33444816053511706,0.0063545150501672235,0.07157190635451505,0.06555183946488294,0.0451505016722408,0.04381270903010033,0.10200668896321069
CB06,40.1,0.1,0.0,0.006671114076050701,0.0,0.10340226817878587,0.0,0.11007338225483657,0.0,0.0,0.0,0.01667778519012675,0.0,0.09673115410273515,0.0,0.0,0.33322214809873246,0.00733822548365577,0.07538358905937292,0.06537691794529688,0.043695797198132096,0.04236157438292195,0.0990660440293529
CB07,41.4,0.1,0.0,0.0,0.0,0.23411371237458195,0.0,0.003344481605351171,0.0,0.006688963210702342,0.0,0.010033444816053512,0.0,0.07692307692307693,0.0,0.0,0.33444816053511706,0.006020066889632107,0.07658862876254181,0.06555183946488295,0.04080267558528428,0.04046822742474917,0.10501672240802676
CB08,41.6,0.1,0.0,0.0,0.0,0.24552090245520905,0.0,0.0033178500331785005,0.0,0.009953550099535502,0.0,0.013271400132714002,0.0,0.0630391506303915,0.0,0.0,0.33244857332448574,0.006635700066357001,0.07631055076310551,0.06502986065029862,0.040145985401459854,0.039814200398142006,0.10451227604512277
CB09,38.1,0.1,0.0,0.0033444816053511705,0.0,0.1471571906354515,0.0,0.0,0.006688963210702341,0.0033444816053511705,0.0,0.10367892976588627,0.0,0.06688963210702341,0.0,0.0,0.33444816053511706,0.0046822742474916385,0.06622073578595318,0.06254180602006688,0.043478260869565216,0.04381270903010033,0.11371237458193979
CB10,36.4,0.1,0.0,0.0033320005331200857,0.0,0.11328801812608291,0.0,0.0,0.013328002132480343,0.0,0.0,0.16326802612288419,0.0,0.03998400639744103,0.0,0.0,0.33339997334399574,0.003998400639744102,0.05964280954284953,0.06064240970278555,0.04431560709049714,0.04551512728242037,0.11928561908569905
CB11,36.9,1395.3,0.0,0.0,0.0,0.14333333333333334,0.0,0.0,0.016666666666666666,0.0,0.0,0.17,0.0,0.0033333333333333335,0.0,0.0,0.3333333333333333,0.004,0.059666666666666666,0.06066666666666667,0.043666666666666666,0.04466666666666667,0.12066666666666666
CB12,37.4,1349.4,0.0,0.07487520798668885,0.0,0.10981697171381033,0.0,0.0066555740432612314,0.013311148086522463,0.0,0.0,0.1264559068219634,0.0,0.0033277870216306157,0.0,0.0,0.3327787021630616,0.004326123128119801,0.06688851913477538,0.06189683860232945,0.04326123128119801,0.04326123128119801,0.11314475873544094
CB13,37.5,1338.0,0.0,0.07671781187458306,0.0,0.1134089392928619,0.0,0.0066711140760507,0.0133422281521014,0.0,0.0,0.12341561040693795,0.0,0.0,0.0,0.0,0.3332221480987325,0.004336224149432954,0.06737825216811208,0.06204136090727151,0.04336224149432955,0.043028685790527016,0.11307538358905937
