blend_id,API,Sulphur,crude_TUL,crude_BOL,crude_CJB,crude_WCD,crude_CEI,crude_AME,crude_FOR,crude_IRC,crude_OK2,crude_ESC,crude_BOC,crude_MEO,crude_RCO,crude_Cieba,crude_OKW,crude_Egina,crude_PAZ,crude_Nembe,crude_Utapate,crude_Okono,crude_SAB,crude_Buzios,crude_Total,crude_Gas & LPG,crude_Naptha ,crude_Kerosene,crude_Light Diesel,crude_Heavy Diesel
CB01,35.5,1462.0,0.0,0.07028112449799197,0.0,0.12048192771084337,0.0,0.0033467202141900937,0.02677376171352075,0.0,0.010040160642570281,0.0,0.0,0.0,0.11680053547523427,0.0,0.0,0.08366800535475234,0.0033467202141900937,0.0,0.006693440428380187,0.0,0.0,0.006693440428380187,0.33433734939759036,0.006358768406961178,0.05120481927710843,0.06827309236947791,0.039491298527443104,0.05220883534136546
CB02,36.6,1398.0,0.0,0.0733822548365577,0.0,0.15677118078719143,0.0,0.00333555703802535,0.0066711140760507,0.0,0.0,0.0,0.0,0.0,0.11407605070046697,0.0,0.0,0.08338892595063375,0.0,0.0,0.0066711140760507,0.0,0.0,0.00333555703802535,0.3332221480987325,0.0066711140760507,0.05470313542361574,0.06904603068712474,0.03835890593729153,0.05036691127418278
CB03,37.9,1375.0,0.0,0.058627581612258485,0.0,0.18321119253830778,0.0,0.013990672884743503,0.006329113924050632,0.0,0.0013324450366422385,0.0,0.0,0.0,0.11259160559626916,0.0,0.0,0.059960026648900724,0.0006662225183211193,0.0,0.006662225183211192,0.0,0.0,0.002331778814123917,0.3334443704197202,0.007328447701532311,0.059626915389740166,0.07095269820119919,0.037308461025982675,0.04563624250499667
CB04,37.2,1453.7,0.0,0.009663445518160615,0.0,0.17627457514161948,0.0,0.008997000999666778,0.006331222925691436,0.0,0.0,0.05764745084971676,0.0,0.0,0.12029323558813729,0.0,0.0,0.06464511829390204,0.0006664445184938354,0.0,0.006664445184938354,0.0,0.0,0.001999333555481506,0.3335554815061646,0.005998000666444518,0.055981339553482175,0.0696434521826058,0.0376541152949017,0.04398533822059314
CB05,37.3,1456.0,0.0,0.008338892595063376,0.0,0.1847898599066044,0.0,0.008338892595063376,0.005670446964643095,0.0,0.0,0.05770513675783855,0.0,0.0,0.1200800533689126,0.0,0.0,0.06470980653769179,0.00066711140760507,0.0,0.00200133422281521,0.0,0.00066711140760507,0.00066711140760507,0.33322214809873246,0.006004002668445629,0.056037358238825885,0.06971314209472981,0.037691794529686455,0.04369579719813209
CB06,37.9,1403.0,0.0,0.05962691538974017,0.0,0.16289140572951366,0.0,0.007661558960692872,0.000999333777481679,0.0,0.0,0.0842771485676216,0.0,0.0,0.11558960692871419,0.0,0.0,0.015323117921385744,0.0,0.0,0.0016655562958027984,0.0,0.0006662225183211193,0.0,0.3334443704197202,0.007661558960692872,0.05996002664890074,0.07161892071952032,0.036975349766822124,0.04163890739506996
CB07,39.9,1256.8,0.0,0.01134089392928619,0.0,0.14809873248832553,0.0,0.09506337558372246,0.0,0.0,0.001667778519012675,0.0733822548365577,0.0,0.0,0.1077384923282188,0.0,0.0,0.0030020013342228146,0.0,0.0,0.001000667111407605,0.0,0.0,0.0,0.3332221480987325,0.008338892595063376,0.06537691794529686,0.07471647765176784,0.03669112741827885,0.04036024016010673
CB08,39.0,1289.0,0.0,0.024357691024357687,0.0,0.13580246913580243,0.0,0.07807807807807808,0.0,0.0,0.002002002002002002,0.09242575909242576,0.0,0.0,0.1101101101101101,0.0,0.0,0.0,0.0,0.0,0.0006673340006673339,0.0,0.0,0.0,0.3333333333333333,0.008008008008008008,0.06339673006339673,0.07407407407407407,0.037037037037037035,0.040707374040707366
CB09,38.0,1235.6,0.0,0.03989361702127659,0.0,0.06316489361702128,0.0,0.06981382978723404,0.006648936170212766,0.0,0.003324468085106383,0.10970744680851065,0.0,0.0,0.10970744680851065,0.0,0.0,0.0,0.0,0.0,0.03989361702127659,0.0,0.0,0.003324468085106383,0.3321143617021277,0.007978723404255319,0.061170212765957445,0.0728058510638298,0.03789893617021277,0.0425531914893617
CB10,37.5,1377.5,0.0,0.03681392235609103,0.0,0.010040160642570281,0.0,0.09705488621151272,0.006693440428380187,0.0,0.0,0.0890227576974565,0.0,0.0,0.11211512717536815,0.030120481927710843,0.0,0.0,0.0,0.0,0.0568942436412316,0.0,0.0,0.0033467202141900937,0.33500669344042844,0.008366800535475234,0.06057563587684069,0.07228915662650602,0.03781793842034806,0.04384203480589023
CB11,37.7,1358.1,0.0,0.03602401601067378,0.0,0.01134089392928619,0.0,0.10607071380920613,0.007338225483655769,0.0,0.000333555703802535,0.08105403602401601,0.0,0.0,0.1104069379586391,0.03135423615743829,0.0,0.0,0.00133422281521014,0.0,0.056037358238825885,0.0,0.0,0.00266844563042028,0.3332221480987325,0.008338892595063376,0.0610406937958639,0.07238158772515009,0.037691794529686455,0.04336224149432955
CB12,38.3,1570.0,0.0,0.024991669443518827,0.0,0.010663112295901367,0.0,0.10496501166277908,0.006331222925691436,0.0,0.0,0.027990669776741087,0.0,0.0,0.11162945684771744,0.07230923025658115,0.0,0.0013328890369876708,0.000999666777740753,0.0,0.08197267577474175,0.0,0.0,0.001999333555481506,0.33322225924691773,0.008330556481172943,0.06364545151616129,0.07130956347884039,0.035654781739420195,0.042652449183605466
CB13,38.4,1555.1,0.0,0.023248090335436733,0.0,0.009963467286615742,0.0,0.10627698439056792,0.006642311524410495,0.0,0.0,0.02590501494520093,0.0,0.0,0.1086017934241116,0.07306542676851543,0.0,0.0016605778811026237,0.0,0.0,0.08635004981733643,0.0,0.0,0.0033211557622052474,0.33178346064430425,0.008302889405513119,0.06675523082032547,0.06542676851544338,0.03819329126536034,0.04450348721355032
CB14,38.7,1730.3,0.0,0.023310023310023312,0.0,0.10323010323010323,0.0,0.00999000999000999,0.00666000666000666,0.0,0.0,0.025974025974025972,0.0,0.0,0.11488511488511487,0.07326007326007326,0.0,0.001665001665001665,0.0,0.0,0.08658008658008658,0.0,0.0,0.00333000333000333,0.333000333000333,0.007659007659007659,0.06793206793206792,0.06426906426906427,0.03596403596403596,0.04229104229104229
CB15,38.8,1611.0,0.0,0.011844331641285956,0.0047377326565143825,0.12791878172588833,0.0,0.012859560067681894,0.010829103214890017,0.0,0.0,0.0030456852791878168,0.0,0.0,0.11675126903553298,0.031810490693739424,0.0,0.0027072758037225042,0.0,0.0,0.08392554991539763,0.0,0.0,0.03350253807106599,0.338409475465313,0.007445008460236886,0.0703891708967851,0.06531302876480541,0.03620981387478849,0.04230118443316413
CB16,36.4,1861.9,0.0,0.08460236886632826,0.0047377326565143825,0.12521150592216582,0.0,0.01353637901861252,0.01015228426395939,0.0,0.0,0.013874788494077835,0.0,0.0,0.12622673434856177,0.03722504230118443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0338409475465313,0.338409475465313,0.008121827411167513,0.0598984771573604,0.06328257191201353,0.03756345177664975,0.04331641285956007
CB17,37.3,1582.7,0.0,0.10152284263959391,0.00338409475465313,0.14890016920473773,0.0,0.01353637901861252,0.01015228426395939,0.0,0.0,0.011844331641285956,0.0,0.0,0.11945854483925548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0338409475465313,0.338409475465313,0.008121827411167513,0.06362098138747885,0.06565143824027073,0.03857868020304569,0.04297800338409476
CB18,36.1,1773.0,0.0,0.11141120864280893,0.004726536124240378,0.11917623227548954,0.0,0.0013504388926401081,0.011816340310600948,0.0,0.0,0.011816340310600948,0.0,0.0,0.12491559756921,0.024307900067521943,0.0,0.004726536124240378,0.0,0.0,0.0,0.0,0.0,0.034773801485482786,0.337947332883187,0.007765023632680622,0.059081701553004726,0.06347062795408508,0.03848750844024308,0.04422687373396354
CB19,35.5,1856.3,0.0,0.12072434607645874,0.004024144869215291,0.10060362173038229,0.0,0.0,0.010060362173038228,0.0,0.0,0.011737089201877935,0.0,0.0,0.12340710932260227,0.043594902749832326,0.0,0.008383635144198525,0.0,0.0,0.0,0.0,0.0,0.030181086519114685,0.335345405767941,0.008048289738430582,0.05667337357478203,0.062038900067069074,0.03856472166331321,0.046613011401743794
CB20,35.8,1961.4,0.0,0.0910931174089069,0.0033738191632928477,0.11808367071524965,0.0,0.0,0.010121457489878543,0.0,0.0,0.007422402159244264,0.0,0.0,0.12651821862348178,0.05398110661268556,0.0,0.010796221322537112,0.0,0.0,0.0,0.0,0.0,0.030364372469635626,0.33738191632928477,0.007422402159244264,0.057354925775978415,0.0620782726045884,0.037786774628879895,0.04622132253711202
CB21,35.2,2467.0,0.0,0.027964959568733155,0.004043126684636119,0.11960916442048516,0.0,0.0,0.010444743935309973,0.0,0.0,0.006401617250673854,0.0,0.0,0.137466307277628,0.1192722371967655,0.0,0.010444743935309973,0.0,0.0,0.0,0.0,0.0,0.02863881401617251,0.33659029649595684,0.006401617250673854,0.053571428571428575,0.058625336927223715,0.03537735849056604,0.04514824797843666
CB22,35.7,2109.0,0.0,0.07171447631754503,0.005003335557038025,0.11774516344229487,0.0,0.0010006671114076052,0.012341561040693796,0.0,0.0,0.0070046697798532365,0.0,0.0,0.12808539026017346,0.07271514342895265,0.0,0.010673782521681122,0.0,0.0,0.0,0.0,0.0,0.035356904603068715,0.3332221480987325,0.0070046697798532365,0.05837224816544363,0.05770513675783856,0.03669112741827885,0.04536357571714477
CB23R,40.1,1644.0,0.0,0.001998667554963358,0.0,0.14890073284477015,0.0,0.018654230512991338,0.0,0.0,0.0,0.004663557628247834,0.0,0.0,0.10226515656229179,0.04730179880079946,0.0,0.0,0.0,0.0,0.009660226515656229,0.10193204530313124,0.0,0.0,0.3334443704197202,0.0076615589606928705,0.07228514323784144,0.06728847435043304,0.038640906062624915,0.04530313124583611
CB24R,37.9,1375.6,0.0,0.05659121171770973,0.0,0.09986684420772303,0.0,0.0,0.0,0.0,0.0,0.09986684420772303,0.0,0.0,0.10719041278295606,0.0,0.0,0.0,0.0,0.0,0.006657789613848202,0.06990679094540612,0.0,0.0,0.33355525965379496,0.007989347536617843,0.06524633821571238,0.06624500665778962,0.04161118508655127,0.045272969374167776
CB25,36.4,1498.1,0.0,0.049999999999999996,0.0,0.06,0.01,0.0,0.0,0.0,0.0,0.14666666666666667,0.0,0.0,0.114,0.0,0.0,0.0,0.0,0.0,0.006666666666666667,0.06,0.0,0.0,0.3333333333333333,0.007,0.05933333333333333,0.06433333333333334,0.042333333333333334,0.04633333333333334
CB26,36.4,1498.1,0.0,0.049999999999999996,0.0,0.06,0.01,0.0,0.0,0.0,0.0,0.14666666666666667,0.0,0.0,0.114,0.0,0.0,0.0,0.0,0.0,0.006666666666666667,0.06,0.0,0.0,0.3333333333333333,0.007,0.05933333333333333,0.06433333333333334,0.042333333333333334,0.04633333333333334
CB27,36.5,1586.0,0.0,0.001333777925975325,0.0,0.03867955985328443,0.0213404468156052,0.0,0.0,0.0,0.0,0.1663887962654218,0.0,0.0,0.11370456818939648,0.0,0.0,0.0,0.0,0.0,0.009336445481827275,0.09669889963321106,0.0,0.0,0.33311103701233746,0.006335445148382794,0.05801933977992663,0.0650216738912971,0.0426808936312104,0.04734911637212404
