date,Train_A_Raw_Crude_Flow,Train_B_Raw_Crude_Flow,Raw_Crude_Pump_Discharge_Flow,Rich_Sponge_Oil_Flash_Drum_Bottoms_to_CDU,Rich_Gas_Knockout_Drum_Liquid_to_CDU
2025-05-01,1546.269562211,1357.62744846282,2849.40225146116,11.6651903757116,0.696587383747101
2025-05-02,1541.55863978371,1356.82212063959,2838.94260994904,11.455314614499,0.696587383747101
2025-05-03,1519.60271803674,1333.59618783892,2789.32996749233,11.5074102225264,0.696587383747101
2025-05-04,1451.43346290383,1267.05746475067,2656.59802847392,11.7815157571592,0.696587383747101
2025-05-05,1453.72612480035,1268.56893317598,2660.65817405666,11.2274817644116,0.696587383747101
2025-05-06,1453.65358852638,1266.42158378594,2658.08472990329,11.5033898312383,0.696587383747101
2025-05-07,1454.26198632017,1270.30176974576,2662.72526951693,12.4349392667129,0.696587383747101
2025-05-08,1454.33734236011,1271.97480183851,2654.68729902647,13.4936548783171,0.696587383747101
2025-05-09,1456.72925404134,1275.04068673923,2668.04571816896,13.2062031633171,0.696587383747101
2025-05-10,1407.62317513292,1230.21248238656,2569.81443491866,12.5855707240668,0.696587383747101
2025-05-11,1289.65240391276,1121.40748013265,2332.30960757564,12.1661178988408,0.696587383747101
2025-05-12,1335.14501285346,1161.10827554602,2421.58910731826,12.0851885580596,0.696587383747101
2025-05-13,1454.23630684348,1292.83274901652,2679.72244943058,13.5117874779974,0.696587383747101
2025-05-14,1488.3522072292,1363.14145684093,2792.85925161714,12.3595952455954,0.696587383747101
2025-05-15,1598.55626339138,1491.44403103594,3036.09923474629,11.8630946297292,0.696587383747101
2025-05-16,1585.60662068875,1479.37862071319,3015.01972331274,11.2330035481744,0.696587383747101
2025-05-17,1578.96885864799,1474.10369542046,3002.9004080475,11.3801848947501,0.696587383747101
2025-05-18,1571.18235431749,1463.20273483027,2975.00547735869,11.3470500165484,0.696587383747101
2025-05-19,1564.54563704156,1457.10540285835,2966.31867199541,11.8173504339063,0.696587383747101
2025-05-20,1644.96729982711,1516.49742513488,3107.99551495114,12.4282098732323,0.696587383747101
2025-05-21,1772.41081195041,1616.85300328272,3337.83252998925,12.5460868742323,0.696587383747101
2025-05-22,1763.51526890769,1610.80529195644,3335.56539829118,12.1281428212452,0.696587383747101
2025-05-23,1768.60234529577,1611.24229216862,3342.28487730926,12.1073826621971,0.696587383747101
2025-05-24,1768.60234529577,1611.24229216862,3342.28487730926,12.1073826621971,0.696587383747101
2025-05-25,1747.5590198866,1606.6357853912,3312.60196850045,12.2421789283495,0.696587383747101
2025-05-26,1745.96236306442,1600.082673885,3306.9089854007,12.2997185167355,0.696587383747101
2025-05-27,1745.94770638338,1600.73089129556,3307.73548927295,12.6128377107231,0.696587383747101
2025-05-28,1748.70559924399,1597.7001658696,3305.06257568463,12.1956941498444,0.696587383747101
2025-05-29,1750.06722221743,1589.90724794861,3292.69339481997,13.1978954627502,0.696587383747101
2025-05-30,1751.9019697645554,1593.7731768066126,3303.736294668369,12.664634886739865,0.6965873837471008
2025-05-31,1751.9019697645554,1593.7731768066126,3303.736294668369,12.664634886739865,0.6965873837471008
