date,Train_A_Raw_Crude_Flow,Train_B_Raw_Crude_Flow,Raw_Crude_Pump_Discharge_Flow,Rich_Sponge_Oil_Flash_Drum_Bottoms_to_CDU,Rich_Gas_Knockout_Drum_Liquid_to_CDU
2025-04-01,1281.5689582581,1093.14978946235,2300.74147175759,16.348394974273,0.696587383747101
2025-04-02,1281.06373447528,1094.8453002068,2295.97645754911,14.1995442247654,0.696587383747101
2025-04-03,1281.22320923837,1096.46813896865,2291.70069228217,16.3875101971791,0.696587383747101
2025-04-04,1285.10367072908,1098.41270111593,2308.56541477391,10.9957959401363,0.696587383747101
2025-04-05,1310.22745133491,1122.77073770917,2358.14410113423,11.1880371336753,0.696587383747101
2025-04-06,1323.3972762576,1139.12542507409,2388.04011735828,12.5486730805669,0.696587383747101
2025-04-07,1320.00414765119,1142.32532839717,2387.73648018419,12.161134726639,0.696587383747101
2025-04-08,1316.44473323522,1138.91130606305,2380.28996682175,14.8770961236921,0.696587383747101
2025-04-09,1318.13395760561,1142.97984618122,2382.64158568185,18.0308796289406,0.696587383747101
2025-04-10,1304.46698094284,1130.04446322766,2355.15990760793,16.0776621268592,0.696587383747101
2025-04-11,1287.08978331154,1110.7631277157,2308.90703086141,16.5567902672794,0.696587383747101
2025-04-12,1287.0897833115416,1110.7631277156986,2308.9070308614105,16.55679026727945,0.6965873837471008
2025-04-13,1292.16229368146,1112.39573183305,2326.13444072174,14.8527400597534,0.696587383747101
2025-04-14,1295.11959935181,1115.35721762174,2331.78531272117,15.1066051422348,0.696587383747101
2025-04-15,1296.38461215214,1119.2126943328,2334.16974218423,15.8924438057312,0.696587383747101
2025-04-16,1298.7505113246,1123.45837149763,2332.47878814466,15.5745391478234,0.696587383747101
2025-04-17,1296.8587348999,1127.81867293547,2336.62766748548,15.1955035354077,0.696587383747101
2025-04-18,1296.97245636683,1128.1243990588,2339.7365182192,15.6572943533916,0.696587383747101
2025-04-19,1297.21606905952,1129.57010813779,2334.67848971646,14.9682817910804,0.696587383747101
2025-04-20,1294.79820813422,1125.5924216954,2326.49810181978,16.0126661646679,0.696587383747101
2025-04-21,1292.22332185719,1124.22625430707,2325.12870898638,15.4748863681283,0.696587383747101
2025-04-22,1292.89256635471,1122.94461787417,2329.42091444795,13.1891055168739,0.696587383747101
2025-04-23,1296.58809132984,1124.67355351871,2319.89426092515,14.4810110360962,0.696587383747101
2025-04-24,1304.40975146466,1130.83480939969,2344.28520642227,12.204473007941,0.696587383747101
2025-04-25,1350.73037889617,1180.46742779701,2469.69088677707,11.7170700389473,0.696587383747101
2025-04-26,1449.9577021479,1262.54739275668,2635.36573706729,11.359973037649,0.696587383747101
2025-04-27,1453.15683531386,1268.63223755642,2645.30804666896,12.1396150203339,0.696587383747101
2025-04-28,1504.53016039306,1322.16583459609,2757.2259696006,12.1640688898957,0.696587383747101
2025-04-29,1537.41578853199,1351.15070437077,2814.58683072906,11.0775294329883,0.696587383747101
2025-04-30,1534.96260546821,1341.73750803832,2811.00089688101,11.9097267583465,0.696587383747101
