blend_id,API,Sulphur,crude_AGB,crude_BOL,crude_WTI,crude_Tupi (Lula),crude_AME,crude_FOR,crude_MERO,crude_OK2,crude_ESC,crude_IRC,crude_Egina,crude_TUL,crude_OKW,crude_CEI,crude_PAZ,crude_Iracema Crude,crude_Utapate,crude_Okono,crude_SAB,crude_Buzios,crude_Total,crude_Gas & LPG,crude_Naptha ,crude_Kerosene,crude_Light Diesel,crude_Heavy Diesel,crude_RCO
CB01,30.2,2535.5,0.0,0.003331112591605596,0.0,0.0,0.0,0.10326449033977347,0.11658894070619585,0.0,0.03997335109926715,0.006662225183211192,0.0,0.04996668887408394,0.0,0.003331112591605596,0.0,0.0,0.003331112591605596,0.0,0.0,0.006662225183211192,0.3334443704197202,0.003997335109926716,0.04663557628247835,0.0486342438374417,0.029646902065289804,0.049300466355762816,0.1552298467688208
CB02,29.9,2472.0,0.0,0.0033333333333333335,0.0,0.0,0.0,0.11666666666666665,0.17,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0033333333333333335,0.0,0.0,0.006666666666666667,0.0,0.0,0.0,0.3333333333333333,0.0026666666666666666,0.04533333333333334,0.04933333333333333,0.030333333333333334,0.050333333333333334,0.15533333333333335
CB03,29.8,2398.0,0.0,0.005706612957368244,0.0,0.0,0.0,0.1587781134608929,0.1544142329640819,0.0,0.003356831151393085,0.0,0.0010070493454179255,0.0,0.0,0.005370929842228936,0.0,0.0,0.0,0.0,0.0,0.0,0.3356831151393085,0.002685464921114468,0.045652903658945955,0.05102383350117489,0.031889895938234304,0.053037932192010744,0.15139308492782813
CB04,32.0,1746.4,0.0,0.006688963210702342,0.010033444816053512,0.0,0.003344481605351171,0.23745819397993312,0.03678929765886288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003344481605351171,0.03344481605351171,0.0,0.0,0.33444816053511706,0.004013377926421405,0.054515050167224084,0.05953177257525084,0.03812709030100335,0.06220735785953178,0.11605351170568562
CB05,31.4,1773.0,0.0,0.005001667222407469,0.006668889629876626,0.0,0.003001000333444481,0.25841947315771924,0.03701233744581527,0.0,0.0,0.0,0.0,0.0,0.0,0.0006668889629876625,0.0,0.0,0.0020006668889629878,0.020340113371123708,0.0,0.0,0.33344448149383127,0.0036678892964321437,0.05201733911303768,0.0586862287429143,0.0383461153717906,0.06302100700233411,0.11770590196732243
CB06,36.0,1437.1,0.0,0.00033428046130703663,0.0,0.0,0.0,0.13371218452281466,0.0,0.14708340297509612,0.006685609226140732,0.0,0.00016714023065351831,0.030085241517633296,0.0,0.003342804613070366,0.0,0.0,0.0,0.006685609226140732,0.0,0.003342804613070366,0.33428046130703665,0.005682767842219623,0.07454454287146917,0.05783051980611733,0.03543372889854588,0.0538191542704329,0.10696974761825172
CB07,36.1,1429.0,0.0,0.0,0.0,0.0,0.0,0.13364517206815904,0.0,0.14700968927497496,0.006682258603407952,0.0,0.0,0.030070163715335784,0.0,0.001002338790511193,0.0,0.0,0.0,0.010023387905111928,0.0,0.003341129301703976,0.3341129301703976,0.00567991981289676,0.07484129635816907,0.05780153691947878,0.035415970598062146,0.05379218175743401,0.10658202472435684
CB08,33.8,1574.0,0.0,0.000666000666000666,0.000666000666000666,0.0,0.0,0.1744921744921745,0.03196803196803197,0.08225108225108224,0.02364302364302364,0.006993006993006993,0.0,0.0,0.0,0.0,0.0,0.0,0.002331002331002331,0.010323010323010322,0.0,0.0,0.33333333333333337,0.005328005328005328,0.0636030636030636,0.0576090576090576,0.036297036297036296,0.056943056943056944,0.11355311355311355
CB09,34.7,1506.0,0.0,0.0,0.0,0.0,0.0,0.1416613007083065,0.02897617514488087,0.103026400515132,0.02897617514488087,0.009658725048293624,0.0,0.0,0.0,0.0,0.0,0.0,0.003219575016097875,0.00643915003219575,0.0,0.0,0.3390212491951063,0.004829362524146812,0.06535737282678686,0.061171925305859624,0.046039922730199606,0.05344494526722472,0.1081777205408886
CB10,36.0,1351.0,0.0,0.0003211303789338472,0.0,0.0,0.0,0.08670520231213874,0.019267822736030827,0.0,0.07707129094412331,0.0,0.0,0.0,0.1348747591522158,0.0009633911368015415,0.0,0.0009633911368015415,0.0009633911368015415,0.0,0.0,0.0,0.33943481053307645,0.005459216441875402,0.07096981374438022,0.06518946692357097,0.04238921001926783,0.046242774566473986,0.10918432883750805
