date,Train_A_Raw_Crude_Flow,Train_B_Raw_Crude_Flow,Rich_Sponge_Oil_Flash_Drum_Bottoms_to_CDU,Rich_Gas_Knockout_Drum_Liquid_to_CDU
2024-06-01,1080.89540500482,1099.83088815119,13.8401448050324,1.78838802531641
2024-06-02,1064.01098357756,1080.1690914667,17.3254298327507,1.92537603342785
2024-06-03,1069.36754244523,1081.88377326982,22.4145792273721,1.9049553939459
2024-06-04,1072.90939756125,1073.60634693147,14.4812881834963,1.59603392290185
2024-06-05,1069.45753165809,1075.64650071513,14.2893331381876,1.71373737461953
2024-06-06,948.47718300662,993.75207361899,17.4166945648177,1.59189037184145
2024-06-07,901.751644059022,965.709577129722,17.8512382761843,1.81046232663199
2024-06-08,896.918945363841,953.761413459747,17.9307389797769,1.55772245284101
2024-06-09,926.861823688112,939.179563519216,19.5789634869836,1.81341370814408
2024-06-10,933.74758292525,953.601421149473,19.6894242296807,1.84562040328142
2024-06-11,920.821953454729,966.033183588114,14.359355557819,1.970388229545
2024-06-12,963.224308073342,996.257952402691,18.7637633921936,1.73786557041193
2024-06-13,1004.221106,1013.858769,15.81842125,1.749739754
2024-06-14,1028.62563251818,1053.83646032317,14.674872439054,1.59680308548927
2024-06-15,1029.48283648034,1056.76331899875,19.0404989609065,1.7708103374865
2024-06-16,1076.42997365405,1063.96678158948,14.5400988708515,1.70747891083654
2024-06-17,1104.63883984403,1068.5203456813,18.1292434232526,1.64349099755394
2024-06-18,1109.41392100579,1086.5285173074,25.8842753624301,1.94471536532384
2024-06-19,1130.26046958589,1118.62833861281,25.0326511068324,1.85358256707737
2024-06-20,1149.132236,1141.521084,18.02816736,1.643149624
2024-06-21,1146.19595381504,1140.42765639022,18.5945587527656,1.6781989170048
2024-06-22,1141.4826748441,1134.22886257554,20.8207465253185,1.73403044284802
2024-06-23,1140.69252257564,1125.35397890523,13.9618746387265,1.63148926309522
2024-06-24,1145.03452115397,1127.98505403249,15.1170631422107,1.76628062424267
2024-06-25,1148.62946462086,1134.77043710469,22.8523254414199,1.69764514124365
2024-06-26,1114.46950558763,1094.39377793075,19.5972310008645,1.60727637610727
2024-06-27,1116.5357809518,1101.7292048882,23.1181745389174,1.84970622951472
2024-06-28,1092.89651911537,1079.60294239273,16.2266953837023,1.5784172982893
2024-06-29,1085.8136549061,1094.82220651859,15.5849906958245,1.75991613495559
2024-06-30,1089.70061167573,1102.55035863004,16.1394072513796,1.76506121506388
2024-07-01,1093.38249111763,1107.90795622641,16.6383449032327,1.64661560251334
