blend_id,API,Sulphur,crude_AGB,crude_BOL,crude_CJB,crude_WCD,crude_QUI,crude_AME,crude_FOR,crude_ABO,crude_OK2,crude_ESC,crude_BOC,crude_BRL,crude_AKP,crude_ASC,crude_AGO,crude_YOH,crude_OKW,crude_ERH,crude_PAZ,crude_Nembe,crude_Total,crude_Gas & LPG,crude_Naptha ,crude_Kerosene,crude_Light Diesel,crude_Heavy Diesel,crude_RCO
CB01,36.3,1139.0,0.0,0.1543847949316439,0.030010003334444812,0.0,0.10136712237412471,0.0,0.0006668889629876625,0.0,0.039346448816272084,0.0073357785928642874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33344448149383127,0.008669556518839612,0.07735911970656886,0.04468156052017339,0.04868289429809936,0.045681893964654885,0.10836945648549516
CB02,36.4,1174.0,0.0,0.12175648702594809,0.01330671989354624,0.0,0.17964071856287425,0.0,0.0,0.0,0.0166333998669328,0.00332667997338656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.332667997338656,0.007651363938789088,0.07651363938789088,0.044577511643379905,0.04856952761144377,0.04690618762475049,0.10844976713240186
CB03,36.2,1170.5,0.0,0.16666666666666666,0.006666666666666667,0.0,0.13666666666666666,0.0,0.0,0.0,0.02,0.0033333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.008333333333333333,0.077,0.044333333333333336,0.048666666666666664,0.04633333333333334,0.10866666666666668
CB03Rev,36.4,1406.0,0.0,0.04838171504838171,0.0,0.0,0.12679346012679346,0.0,0.0,0.0,0.020020020020020016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00333667000333667,0.1334668001334668,0.0,0.0,0.3340006673340007,0.006339673006339672,0.07340674007340674,0.045712379045712376,0.04971638304971637,0.048715382048715374,0.1101101101101101
CB04,34.9,1560.7,0.0,0.1097032344114705,0.003334444814938313,0.0,0.003334444814938313,0.0,0.0,0.0,0.0,0.016672224074691565,0.0,0.0,0.0,0.0,0.0,0.0,0.003334444814938313,0.19673224408136045,0.0,0.0,0.33344448149383127,0.0073357785928642874,0.06735578526175393,0.04834944981660553,0.04768256085361787,0.049016338779593195,0.11370456818939648
CB05,35.9,1374.6,0.0,0.078125,0.0,0.0,0.14960106382978725,0.0,0.0009973404255319148,0.0,0.0,0.016622340425531915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08976063829787234,0.0,0.0,0.3324468085106383,0.006648936170212766,0.07180851063829786,0.04488031914893617,0.04920212765957446,0.04853723404255319,0.11136968085106384
CB06,37.2,1353.3,0.0,0.033767970578401876,0.0,0.0,0.05015045135406218,0.0,0.0,0.0,0.08692744901370779,0.013373453694416584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1471079906385824,0.0,0.0,0.33433634236041454,0.006686726847208292,0.07756603142761619,0.0458040789033768,0.04948177866934135,0.04680708793045804,0.10799063858241391
CB07,40.3,1162.2,0.0,0.032452325192372025,0.0033456005352960855,0.10705921712947473,0.0,0.0,0.0,0.0,0.1371696219471395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05018400802944128,0.0,0.0,0.33489461358313816,0.007694881231180996,0.09300769488123117,0.04550016728002676,0.04583472733355637,0.040147206423553024,0.10270993643358982
CB08,40.5,1148.2,0.0,0.014405360134003347,0.003350083752093802,0.10720268006700166,0.02010050251256281,0.0,0.0,0.0,0.14070351758793967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04355108877721943,0.0,0.0,0.3353433835845896,0.007705192629815744,0.09380234505862646,0.04556113902847571,0.04556113902847571,0.04020100502512562,0.10251256281407034
CB09,40.4,1170.4,0.0,0.014309484193011644,0.0033277870216306153,0.11314475873544093,0.01996672212978369,0.0,0.0,0.0,0.13311148086522462,0.006655574043261231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043261231281198,0.0,0.0,0.33311148086522463,0.007321131447587353,0.09251247920133111,0.04525790349417637,0.04525790349417637,0.03993344425956738,0.102828618968386
