date,Light_Diesel_to_DHT_Unit_Flowrate,Total_Kerosene_Product_Flowrate,Kerosene_to_Light_Diesel_DHT_Flowrate,Total_Atmospheric_Residue_Flowrate,Atm_Residue_to_RFCC_Unit_Flowrate,Atm_Residue_to_Storage_Flowrate,Total_Heavy_Diesel_Product_Flowrate,Total_Light_Diesel_Product_Flowrate,Crude_Column_Naphtha_to_SGCU_Flowrate,Heavy_Diesel_to_MHC_Flowrate,Atm_Residue_to_Storage_EE1027_Flowrate,Total_Stabilized_Naphtha_Product_Flowrate,Jet_Fuel_Product_Train1_Flowrate,Blend_Yield_Gas & LPG,Blend_Yield_Kerosene,Blend_Yield_Light Diesel,Blend_Yield_Heavy Diesel,Blend_Yield_RCO
2025-01-01,382.7128745091869,472.2465521892904,143.82603639022184,779.9995161285414,532.0689602956185,205.81122980848525,409.9764483463542,500.01654523335947,740.7557664355779,420.96923378958604,14.000836056095858,998.5434602027535,-9.14003396823983,0.02164705882352941,0.143,0.13597058823529412,0.13464705882352943,0.33955882352941175
2025-01-02,355.7375158248336,355.93836048254343,143.82364921304352,570.0032358870493,478.97027867160614,101.70167933928313,370.5471821782769,404.36095956463754,584.3890331132432,388.92845452513933,0,814.7363299182388,-9.086316069916446,0.02164705882352941,0.143,0.13597058823529412,0.13464705882352943,0.33955882352941175
2025-01-03,363.1477473359737,333.6937159951374,143.82173682966615,558.0136165522371,453.4354318047455,121.19787775444878,354.7553197560402,409.9931371365731,580.9500002335172,375.2420812985714,0,788.6714220956379,-9.106359319762712,0.02164705882352941,0.143,0.13597058823529412,0.13464705882352943,0.33955882352941175
2025-01-04,295.960867616645,305.47736913249776,143.8212178713823,598.8132481001563,475.15250860731584,149.35571883165147,341.69889067220055,414.09133231556405,576.5192675735385,280.0603197557764,0,780.8901115871421,-9.094831661027989,0.02164705882352941,0.143,0.13597058823529412,0.13464705882352943,0.33955882352941175
2025-01-05,145.9800059065755,358.3100335413342,143.82141311851794,711.9645980721255,485.2195835947639,220.0316596024577,370.22840721625437,451.8930712498166,589.3680792863089,181.19723835119694,23.745095785972154,769.0427606016888,-8.34874493704506,0.02164705882352941,0.143,0.13597058823529412,0.13464705882352943,0.33955882352941175
2025-01-06,60.984904079137735,434.9059757174452,143.81978985999743,823.7994815336301,524.3974994591608,256.952378741862,424.63134317726417,500.00033622237595,713.6325196910709,0.08906249701976776,7.214871289070042,912.7183902330252,40.87538770186208,0.02164705882352941,0.143,0.13597058823529412,0.13464705882352943,0.33955882352941175
2025-01-07,61.00978560890481,446.71373790063,143.79853234499674,800.5878478812288,546.1462954627175,196.30000238385236,420.48194697663484,510.0922561136434,744.496962679803,0.08906249701976776,0,972.999730716913,192.1411068189514,0.02164705882352941,0.143,0.13597058823529412,0.13464705882352943,0.33955882352941175
2025-01-08,204.99754896918404,471.35869520958266,143.81703775511372,721.9935601382085,544.7825620374897,129.04156136045103,387.4299967223669,513.4630697998955,816.4377161135183,359.08846660677216,7.546217743193084,1085.1941614055436,231.72560138790124,0.02164705882352941,0.143,0.13597058823529412,0.13464705882352943,0.33955882352941175
2025-01-09,282.9457672515191,401.2333520393628,143.82731444236194,691.8990211753379,505.2765526007794,138.44506571659795,352.7262873598452,405.5800517121885,790.1089504774305,371.26007812709435,12.030777298382542,1080.8713510974283,213.8009169656105,0.02164705882352941,0.143,0.13597058823529412,0.13464705882352943,0.33955882352941175
2025-01-10,284.03600887424045,333.30819330558603,143.82682441174822,647.0410016698299,444.72073437838867,154.7826051699942,341.774375500217,322.22860764287134,712.1498544436247,362.5400100427209,11.948171648702578,987.1673625673683,312.72927328888204,0.02164705882352941,0.143,0.13597058823529412,0.13464705882352943,0.33955882352941175
2025-01-11,295.6296625374349,358.2099000035057,143.83165092281035,636.3801410385742,455.8729811140288,140.41041392180267,327.68196425726995,336.8605192295386,698.021924499783,348.12733559012014,17.032545644940328,955.7955381803403,335.98445957024427,0.02164705882352941,0.143,0.13597058823529412,0.13464705882352943,0.33955882352941175
2025-01-12,295.6866860456453,385.4060150863214,143.85702427165074,732.0637495377418,507.48487319810766,177.1816761110207,304.89580788628473,327.6548624122936,610.0910709041341,322.98339217116416,20.02194796707397,793.8000179815949,355.67265465308753,0.02164705882352941,0.143,0.13597058823529412,0.13464705882352943,0.33955882352941175
2025-01-13,270.4697127694589,360.81033628820893,143.8527874545906,694.910799934104,468.00057377149705,170.227974395978,250.156317645761,297.842987582144,508.95112345214847,264.33106331630063,14.767957127576368,664.4164738942327,338.7224539633289,0.02164705882352941,0.143,0.13597058823529412,0.13464705882352943,0.33955882352941175
2025-01-14,253.46824558865018,366.6094729144654,143.85606823730916,715.4225045342578,541.3346486602796,117.1483859366862,199.14420259566697,278.89669323463295,498.50007963243274,209.3038243973418,13.643308507831435,642.382921325703,336.4392952482585,0.02164705882352941,0.143,0.13597058823529412,0.13464705882352943,0.33955882352941175
2025-01-15,251.68257197500722,353.0239340947198,143.84609458481802,715.5011340466527,554.8640699717275,93.3039883066135,249.9295037863498,276.24008720522835,453.59433900390627,263.83400513911016,16.227432111763868,597.9732312653724,4.26734995595994,0.02164705882352941,0.143,0.13597058823529412,0.13464705882352943,0.33955882352941175
2025-01-16,250.4637778092448,346.32437036059014,143.83370340942744,712.8470497389268,444.45216224026564,206.9214825600857,290.3667353739873,279.9988059086507,419.65841977511934,301.0165183505624,16.781057982282064,554.9268928489287,-9.544551737617509,0.02164705882352941,0.143,0.13597058823529412,0.13464705882352943,0.33955882352941175
