blend_id,API,Sulphur,crude_AGB,crude_BOL,crude_CJB,crude_WCD,crude_QUI,crude_AME,crude_FOR,crude_ABO,crude_OK2,crude_ESC,crude_BOC,crude_BRL,crude_AKP,crude_ASC,crude_AGO,crude_Total,crude_Gas & LPG,crude_Naptha ,crude_Kerosene,crude_Light Diesel,crude_Heavy Diesel,crude_RCO
CB01,37.7,1173.5,0.0,0.06666666666666667,0.0,0.02,0.0,0.13666666666666666,0.07666666666666667,0.0,0.0,0.02,0.0,0.013333333333333334,0.0,0.0,0.0,0.3333333333333333,0.007333333333333333,0.08,0.05366666666666667,0.04699999999999999,0.04466666666666667,0.10066666666666667
CB02,41.8,828.2,0.0,0.0,0.0,0.02990033222591362,0.0,0.07641196013289037,0.0,0.0,0.21926910299003322,0.0066445182724252485,0.0,0.0033222591362126242,0.0,0.0,0.0,0.3322259136212624,0.008637873754152823,0.08438538205980066,0.06445182724252492,0.043853820598006646,0.038870431893687704,0.0920265780730897
CB03,41.0,877.7,0.0,0.0,0.0,0.016611295681063124,0.0,0.0398671096345515,0.003322259136212625,0.0,0.23920265780730898,0.03322259136212625,0.0,0.003322259136212625,0.0,0.0,0.0,0.33222591362126247,0.0079734219269103,0.0930232558139535,0.051827242524916946,0.04418604651162791,0.03920265780730897,0.09601328903654485
CB04,36.1,1232.6,0.0,0.0,0.0,0.0132890365448505,0.0,0.03322259136212625,0.16943521594684388,0.0,0.11627906976744186,0.003322259136212625,0.0,0.0,0.0,0.0,0.0,0.33222591362126247,0.005980066445182724,0.0707641196013289,0.05083056478405316,0.04916943521594685,0.04817275747508306,0.10730897009966779
CB05,35.5,1272.3,0.0,0.0,0.0,0.006688963210702341,0.0,0.026755852842809364,0.18729096989966557,0.0,0.10702341137123746,0.0033444816053511705,0.0,0.0,0.0,0.0,0.0,0.33444816053511706,0.00568561872909699,0.06856187290969899,0.0511705685618729,0.05016722408026755,0.04949832775919732,0.10936454849498327
CB06,35.3,1280.0,0.0,0.0,0.0,0.00333555703802535,0.0,0.01667778519012675,0.19012675116744493,0.0,0.1134089392928619,0.010006671114076049,0.0,0.0,0.0,0.0,0.0,0.3332221480987325,0.00533689126084056,0.06771180787191461,0.05070046697798532,0.05036691127418278,0.04936624416277518,0.10973982655103402
CB07,35.8,1245.0,0.0,0.0,0.0,0.003322259136212625,0.0,0.0132890365448505,0.16279069767441862,0.0,0.132890365448505,0.023255813953488375,0.0,0.0,0.0,0.0,0.0,0.33222591362126247,0.005647840531561463,0.07009966777408638,0.0504983388704319,0.04950166112956811,0.04784053156146179,0.10863787375415283
CB08,34.1,1379.2,0.0,0.0,0.0,0.0033333333333333335,0.0,0.013333333333333334,0.21666666666666667,0.0,0.08,0.02,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.005,0.062,0.050333333333333334,0.051333333333333335,0.051,0.11366666666666668
CB09,33.2,1475.8,0.0,0.0,0.0,0.0033444816053511705,0.0,0.030100334448160532,0.1806020066889632,0.0,0.023411371237458196,0.09364548494983278,0.0,0.0,0.0,0.0,0.0,0.33444816053511706,0.005016722408026755,0.05719063545150502,0.04983277591973244,0.0511705685618729,0.05083612040133779,0.12040133779264213
CB10,33.0,1555.4,0.0,0.007610853739245532,0.0,0.006618133686300463,0.0,0.013236267372600925,0.08603573792190602,0.00033090668431502316,0.0033090668431502313,0.2183984116479153,0.0,0.0033090668431502313,0.0,0.0,0.0,0.3305757776307081,0.004963600264725347,0.05493050959629384,0.04831237590999338,0.04831237590999338,0.04698874917273328,0.1270681667769689
CB11,32.6,1567.6,0.0,0.006675567423230975,0.0,0.006675567423230975,0.0,0.006675567423230975,0.130173564753004,0.0,0.0033377837116154874,0.17690253671562084,0.0,0.0033377837116154874,0.0,0.0,0.0,0.33311081441922563,0.004672897196261683,0.0540720961281709,0.04873164218958611,0.04973297730307076,0.04906542056074766,0.1268357810413885
CB12,36.4,1233.4,0.0,0.0,0.0,0.0,0.0,0.11658894070619585,0.06995336442371751,0.0,0.033311125916055964,0.11325782811459027,0.0,0.0,0.0,0.0,0.0,0.3334443704197202,0.007328447701532311,0.06995336442371751,0.05129913391072618,0.04796802131912058,0.04563624250499667,0.11125916055962691
CB13,37.9,1167.2,0.0,0.0,0.0,0.026737967914438502,0.0,0.13368983957219252,0.016711229946524065,0.0,0.03342245989304813,0.12032085561497326,0.0,0.0,0.0,0.0,0.0,0.3345588235294118,0.008021390374331552,0.07653743315508021,0.05213903743315508,0.04612299465240642,0.04278074866310161,0.1089572192513369
CB14,38.0,1146.7,0.0,0.0033200531208499337,0.0,0.0199203187250996,0.0,0.14940239043824702,0.0099601593625498,0.0,0.02656042496679947,0.12616201859229748,0.0,0.0,0.0,0.0,0.0,0.3323373173970784,0.008300132802124834,0.07636122177954847,0.05179282868525897,0.045816733067729085,0.042496679946879154,0.10756972111553785
CB15,37.7,1174.0,0.0,0.0033333333333333335,0.0,0.02,0.0,0.15333333333333335,0.006666666666666667,0.0,0.013333333333333334,0.13666666666666666,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.008333333333333333,0.075,0.052,0.046000000000000006,0.042666666666666665,0.10933333333333334
CB16,36.9,1217.1,0.0,0.00333555703802535,0.0,0.0,0.0,0.133422281521014,0.0133422281521014,0.0,0.020013342228152098,0.16344229486324216,0.0,0.0,0.0,0.0,0.0,0.3332221480987325,0.007671781187458305,0.07138092061374249,0.05136757838559039,0.0466977985323549,0.04369579719813209,0.1124082721814543
CB17,36.5,1258.0,0.0,0.0033311125916055968,0.0,0.0,0.0,0.11325782811459029,0.009993337774816789,0.0,0.02331778814123918,0.1832111925383078,0.0,0.0,0.0,0.0,0.0,0.3334443704197202,0.007661558960692872,0.06962025316455696,0.05096602265156563,0.04663557628247836,0.043637574950033314,0.11492338441039307
CB18,34.0,1517.7,0.0,0.0,0.0,0.0,0.0,0.016722408026755852,0.016722408026755852,0.0,0.013377926421404682,0.2374581939799331,0.0,0.0,0.0,0.0,0.04682274247491639,0.33444816053511706,0.00568561872909699,0.05719063545150502,0.04849498327759197,0.04749163879598661,0.0451505016722408,0.13043478260869565
CB19,35.2,1384.2,0.0,0.0,0.0,0.0,0.0,0.05647840531561462,0.0033222591362126242,0.0,0.019933554817275746,0.20265780730897007,0.0,0.0,0.0,0.0,0.05315614617940199,0.3322259136212624,0.0066445182724252485,0.06345514950166113,0.0495016611295681,0.046511627906976744,0.04352159468438538,0.12259136212624584
C20,34.5,1376.3,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.12374581939799333,0.0,0.006688963210702342,0.07023411371237459,0.0,0.0,0.0,0.0,0.053511705685618735,0.33444816053511706,0.006354515050167224,0.06187290969899666,0.050836120401337795,0.049832775919732446,0.048494983277591976,0.11705685618729098
CB21,32.9,1464.0,0.0,0.0,0.0,0.0,0.0,0.05681818181818182,0.2339572192513369,0.0,0.0066844919786096255,0.023395721925133693,0.0,0.0,0.0,0.0,0.010026737967914439,0.33455882352941174,0.005013368983957219,0.05614973262032086,0.050467914438502674,0.05247326203208556,0.05314171122994653,0.11731283422459893
Average,36.00476190476191,1277.4238095238095,0.0,0.004490352881441992,0.0,0.00856816450875857,0.0,0.06727595836506729,0.09075907590759077,1.586697131251587e-05,0.058866463569433855,0.09456714902259458,0.0,0.0012693577050012694,0.0,0.0,0.007774815943132777,0.33320639756283316,0.0065371921807565415,0.06859291698400609,0.0513931200812389,0.04810865701954811,0.04603008377760854,0.11254442751967501
