date,Total_Kerosene_Product_Flowrate,Total_Atmospheric_Residue_Flowrate,Atm_Residue_to_Storage_Flowrate,Total_Heavy_Diesel_Product_Flowrate,Total_Light_Diesel_Product_Flowrate,Atm_Residue_to_Storage_EE1027_Flowrate,Total_Stabilized_Naphtha_Product_Flowrate,Jet_Fuel_Product_Train1_Flowrate,Blend_Yield_Gas & LPG,Blend_Yield_Kerosene,Blend_Yield_Light Diesel,Blend_Yield_Heavy Diesel,Blend_Yield_RCO
2024-09-01,295.917904444815,539.641156888145,506.123553628401,249.156705483398,305.630212951873,41.4474220100845,1019.75280761719,0.0,0.019619047619047623,0.15423809523809523,0.1443809523809524,0.13814285714285715,0.3377619047619047
2024-09-02,277.437238552461,573.47509119194,526.046106651021,250.803282864149,297.047806683305,44.4382200605194,522.999633377401,0.0,0.019619047619047623,0.15423809523809523,0.1443809523809524,0.13814285714285715,0.3377619047619047
2024-09-03,269.998641828446,572.34831815628,528.748272830156,242.662529775948,291.421721210742,43.8514795432635,521.61363040465,0.0,0.019619047619047623,0.15423809523809523,0.1443809523809524,0.13814285714285715,0.3377619047619047
2024-09-04,282.507704796456,516.553930630066,491.809203433498,254.47855241649,293.207632508637,39.5164781455926,561.584513611662,0.0,0.019619047619047623,0.15423809523809523,0.1443809523809524,0.13814285714285715,0.3377619047619047
2024-09-05,286.589570236703,593.745828624894,551.736868043306,162.156616830869,305.998930083869,39.4323912511588,618.464169163605,0.0,0.019619047619047623,0.15423809523809523,0.1443809523809524,0.13814285714285715,0.3377619047619047
2024-09-06,22.9018708286285,1463.58761804314,778.006038733429,21.523801912671,-15.8413839147478,57.2928240605489,253.823186753752,0.0,0.019619047619047623,0.15423809523809523,0.1443809523809524,0.13814285714285715,0.3377619047619047
2024-09-07,0.0,1504.55338603696,641.909083486535,9.41215030389487,0.0,53.4332635852714,0.0,0.0,0.019619047619047623,0.15423809523809523,0.1443809523809524,0.13814285714285715,0.3377619047619047
2024-09-08,0.0,1504.27145043374,1319.17286075753,17.3501178837858,0.0,0.0,0.0,0.0,0.019619047619047623,0.15423809523809523,0.1443809523809524,0.13814285714285715,0.3377619047619047
2024-09-09,0.0,1501.90037540371,1341.00562095754,18.0615665822335,0.0,0.0,0.0,0.0,0.019619047619047623,0.15423809523809523,0.1443809523809524,0.13814285714285715,0.3377619047619047
2024-09-10,0.0,1500.66024396074,1339.47056994701,17.8669169217962,0.0,0.0,0.0,0.0,0.019619047619047623,0.15423809523809523,0.1443809523809524,0.13814285714285715,0.3377619047619047
2024-09-11,0.0,1498.50074738717,1347.91368252978,18.2258345051787,0.0,0.0,0.0,0.0,0.019619047619047623,0.15423809523809523,0.1443809523809524,0.13814285714285715,0.3377619047619047
2024-09-12,0.0,1501.08449147387,1365.51775052703,18.3291800912387,0.0,0.0,0.0,0.0,0.019619047619047623,0.15423809523809523,0.1443809523809524,0.13814285714285715,0.3377619047619047
2024-09-13,276.466335941915,1168.23977803734,891.367262139038,109.345175324295,290.669683367177,54.4014683718018,500.881171747405,0.0,0.019619047619047623,0.15423809523809523,0.1443809523809524,0.13814285714285715,0.3377619047619047
2024-09-14,329.166976,494.0616052,474.4955753,246.0974596,413.7372501,37.28816839,615.0054976,0.0,0.019619047619047623,0.15423809523809523,0.1443809523809524,0.13814285714285715,0.3377619047619047
2024-09-15,338.0048664,442.1578127,462.6910015,247.2005968,420.5945966,28.39683905,578.9750383,0.0,0.019619047619047623,0.15423809523809523,0.1443809523809524,0.13814285714285715,0.3377619047619047
2024-09-16,313.2559271,429.1474939,453.2137436,264.6603929,420.913617,22.36433372,600.9874471,0.0,0.019619047619047623,0.15423809523809523,0.1443809523809524,0.13814285714285715,0.3377619047619047
2024-09-17,329.998503225967,533.877036417077,457.886130376417,282.854727571952,450.005682146803,30.2411923916221,560.14554813857,0.0,0.019619047619047623,0.15423809523809523,0.1443809523809524,0.13814285714285715,0.3377619047619047
2024-09-18,319.759401833599,573.525748980401,298.168224637199,285.008276439503,446.801735213225,0.0,534.516092446308,0.0,0.019619047619047623,0.15423809523809523,0.1443809523809524,0.13814285714285715,0.3377619047619047
2024-09-19,319.999596796585,556.460493103194,302.300891697825,286.661295129678,450.011199019307,33.6856623976546,537.545216942909,0.0,0.019619047619047623,0.15423809523809523,0.1443809523809524,0.13814285714285715,0.3377619047619047
2024-09-20,305.382688382516,1130.07483190594,929.846835632344,113.08669350425,428.59871849586,48.9926577959873,467.033752961292,0.0,0.019619047619047623,0.15423809523809523,0.1443809523809524,0.13814285714285715,0.3377619047619047
2024-09-21,0.0,1502.43080382816,1335.24119410448,14.7353111771342,0.0,0.0,425.002308754764,0.0,0.019619047619047623,0.15423809523809523,0.1443809523809524,0.13814285714285715,0.3377619047619047
2024-09-22,144.871437065789,1157.20437153284,1043.39835700533,123.984129149469,225.240164530086,57.6877730371007,449.009268944482,0.0,0.019619047619047623,0.15423809523809523,0.1443809523809524,0.13814285714285715,0.3377619047619047
2024-09-23,248.093877536307,929.408657623192,827.605686819934,204.537512028013,371.844125157433,47.969635109395,448.277499764036,0.0,0.019619047619047623,0.15423809523809523,0.1443809523809524,0.13814285714285715,0.3377619047619047
2024-09-24,314.795916283286,456.967451885368,471.219604867838,332.129100458687,412.055500648888,24.8989892199352,504.357709697543,0.0,0.019619047619047623,0.15423809523809523,0.1443809523809524,0.13814285714285715,0.3377619047619047
