date,Train_A_Raw_Crude_Flow,Train_B_Raw_Crude_Flow,Rich_Sponge_Oil_Flash_Drum_Bottoms_to_CDU,Rich_Gas_Knockout_Drum_Liquid_to_CDU
2024-10-01,995.108038713462,968.31794777021,14.8729636256485,0.815735251244971
2024-10-02,996.48264358708,963.611149602502,14.338179709637,0.815305431586232
2024-10-03,999.687018540421,958.556456200355,14.2739298098846,0.818508574493875
2024-10-04,1004.41328516953,951.258973803385,14.486017309379,0.807254914128312
2024-10-05,1016.10281655078,938.303124159601,13.8364151466588,0.821032342862709
2024-10-06,988.696296909866,924.375960498819,14.5438971033668,0.810943207241828
2024-10-07,920.827939163182,788.844303254946,15.3700045858147,0.0
2024-10-08,927.137277549346,795.847189582708,14.4420168210772,0.0
2024-10-09,930.750545236151,797.869775147827,15.5372386142847,0.433850545922544
2024-10-10,1137.17549201775,1033.91014038915,16.4694454029961,0.383273875298574
2024-10-11,1146.50710164826,1115.61797402308,15.1832129614201,0.319392829308605
2024-10-12,1024.47227358231,1054.41318886266,16.2020934185316,0.0
2024-10-13,986.508229405267,1003.05606186862,14.6754601630914,0.0
2024-10-14,967.333402235363,1023.76203939911,13.9997466229106,0.0
2024-10-15,1014.17630443359,979.486445236916,14.3821730210948,0.0
2024-10-16,1036.46002115856,973.064417624192,14.2187328088829,0.0
2024-10-17,982.991281413568,889.249314135835,13.8134497197026,0.0
2024-10-18,1004.8044398282,924.447245643134,13.1652703646874,0.0
2024-10-19,1052.7978266749,979.76835141429,13.2818871212026,0.0
2024-10-20,1087.67516611087,1081.89905176216,14.3918621426691,0.0
2024-10-21,1131.24763074665,1144.07991546782,12.7888177559972,0.0
2024-10-22,1167.62249955854,1182.91341579906,13.9662721972669,0.0
2024-10-23,1265.51946469899,1264.6026362157,14.2054844972143,0.0
2024-10-24,1337.48619612659,1335.43004036349,13.5901539432322,0.0
2024-10-25,1335.68333826635,1344.50447330314,12.8253355219724,0.0
2024-10-26,1221.22630954243,1210.62294969952,14.1458698759423,0.724308799595783
2024-10-27,1183.28770968428,1153.66545461838,14.9580144702934,0.729126334190369
2024-10-28,1241.72372464869,1184.78918314736,13.9246493492209,0.729126334190369
2024-10-29,1202.14739006177,1134.21045500705,13.2389222704555,0.729126334190369
2024-10-30,1112.71694671656,1040.89867387036,14.0876785385757,0.729126334190369
2024-10-31,1014.00167888627,929.654273723747,13.7753165411814,0.729126334190369
2024-11-01,1005.88893103369,921.215204747352,12.2714661438369,0.729126334190369
