date,Total_Kerosene_Product_Flowrate,Total_Atmospheric_Residue_Flowrate,Atm_Residue_to_Storage_Flowrate,Total_Heavy_Diesel_Product_Flowrate,Total_Light_Diesel_Product_Flowrate,Atm_Residue_to_Storage_EE1027_Flowrate,Total_Stabilized_Naphtha_Product_Flowrate,Jet_Fuel_Product_Train1_Flowrate,Blend_Yield_Gas & LPG,Blend_Yield_Kerosene,Blend_Yield_Light Diesel,Blend_Yield_Heavy Diesel,Blend_Yield_RCO
2024-10-01,279.99841323882,488.397077115409,259.484658024621,308.542317823349,380.004170623672,28.5177616309005,649.982147403004,0.0,0.01708,0.14904,0.14164000000000002,0.14751999999999998,0.32308
2024-10-02,279.99933822262,472.760077244505,223.588019253725,306.647011803177,379.984388205236,0.0,650.143725200602,0.0,0.01708,0.14904,0.14164000000000002,0.14751999999999998,0.32308
2024-10-03,280.000293284734,479.147367706104,219.82342665792,300.297389844197,380.022010441243,0.0,650.057557416226,0.0,0.01708,0.14904,0.14164000000000002,0.14751999999999998,0.32308
2024-10-04,279.997590476479,477.925468917949,203.282134913029,298.042852472454,380.00226928792,0.0,649.935879683715,0.0,0.01708,0.14904,0.14164000000000002,0.14751999999999998,0.32308
2024-10-05,280.000289472557,485.762363324793,199.493884982432,296.905560244547,380.000623494129,43.135368770633,649.984224190305,0.0,0.01708,0.14904,0.14164000000000002,0.14751999999999998,0.32308
2024-10-06,265.923398562409,683.523946991239,363.254866947577,233.521797992524,385.042215562607,44.8290628201053,650.782372051833,0.0,0.01708,0.14904,0.14164000000000002,0.14751999999999998,0.32308
2024-10-07,0.0,1521.34332568084,1359.65200122436,8.44046727707893,0.0,0.0,0.0,0.0,0.01708,0.14904,0.14164000000000002,0.14751999999999998,0.32308
2024-10-08,0.0,1531.56952636855,1363.6664703222,8.18236048870217,0.0,0.0,0.0,0.0,0.01708,0.14904,0.14164000000000002,0.14751999999999998,0.32308
2024-10-09,243.511770095964,1288.84813137183,1102.77827103006,54.9387902124766,269.014336266172,44.7081741314126,588.048497073763,-8.86255963331557,0.01708,0.14904,0.14164000000000002,0.14751999999999998,0.32308
2024-10-10,336.574283514056,608.751812811026,545.169760092014,302.933632780898,374.663752576969,31.798262618086,615.80459155332,0.0,0.01708,0.14904,0.14164000000000002,0.14751999999999998,0.32308
2024-10-11,323.329773024934,584.639507960997,410.153625260229,313.181984257281,387.88673411913,60.974307953896,709.112061892462,0.0,0.01708,0.14904,0.14164000000000002,0.14751999999999998,0.32308
2024-10-12,300.669741443296,481.676921873915,169.380529925421,306.997595770338,326.503281823131,1.53491009850251,688.846313725718,0.0,0.01708,0.14904,0.14164000000000002,0.14751999999999998,0.32308
2024-10-13,281.154931967707,443.75132543213,165.097565678366,298.988036512799,294.883925738402,0.0568103268742561,699.64205281365,-9.25095820369776,0.01708,0.14904,0.14164000000000002,0.14751999999999998,0.32308
2024-10-14,268.410100486251,475.094060583403,184.208656182197,293.954013136808,301.883054133532,0.0,710.225900459036,0.0,0.01708,0.14904,0.14164000000000002,0.14751999999999998,0.32308
2024-10-15,259.996299605172,506.575805977699,195.724948583438,297.38048971605,292.173720573073,0.0,678.317019839668,0.0,0.01708,0.14904,0.14164000000000002,0.14751999999999998,0.32308
2024-10-16,259.998947865729,451.942856441154,177.329620137646,299.429260539209,290.002621188742,0.0,721.340031464774,-9.98577880859375,0.01708,0.14904,0.14164000000000002,0.14751999999999998,0.32308
2024-10-17,256.313944390472,438.839602210048,187.970046073156,293.234022273054,288.690849213596,0.0,649.352293385896,-9.90832370534111,0.01708,0.14904,0.14164000000000002,0.14751999999999998,0.32308
2024-10-18,235.665630997829,502.364708199231,195.843008547113,297.701248763966,296.312490236138,0.0,611.00297546744,0.0,0.01708,0.14904,0.14164000000000002,0.14751999999999998,0.32308
2024-10-19,247.889338750722,523.297866713798,168.326935179414,305.747900645876,307.965763643684,0.0,684.339743897187,0.0,0.01708,0.14904,0.14164000000000002,0.14751999999999998,0.32308
2024-10-20,257.81960271447,520.720767924483,153.91370344323,304.067979820306,325.211904691214,0.0,810.170169684734,0.0,0.01708,0.14904,0.14164000000000002,0.14751999999999998,0.32308
2024-10-21,270.463929246547,541.881435836764,174.364521888572,327.721375299159,330.444520239535,0.0,856.52351373088,0.0,0.01708,0.14904,0.14164000000000002,0.14751999999999998,0.32308
2024-10-22,281.622160079958,578.690816110382,184.938581831265,327.39601700298,341.806758545951,0.0,901.700561243417,0.0,0.01708,0.14904,0.14164000000000002,0.14751999999999998,0.32308
2024-10-23,302.265357425749,685.911743561623,235.473609668983,342.562705365094,367.916647654076,16.4709522812983,876.589186182132,-9.44112803070895,0.01708,0.14904,0.14164000000000002,0.14751999999999998,0.32308
2024-10-24,319.999027519168,778.013597453038,257.597846775001,355.254033008628,385.01104213349,16.3233629572787,919.861276507091,-9.95526885986328,0.01708,0.14904,0.14164000000000002,0.14751999999999998,0.32308
2024-10-25,319.998018128698,766.059484345545,254.257822311965,355.491520942561,384.998812356693,21.0088087133186,937.742965742945,0.0,0.01708,0.14904,0.14164000000000002,0.14751999999999998,0.32308
2024-10-26,276.164426803821,697.616137334255,271.070408715833,318.539238856437,344.682734773228,21.0321238659858,830.193831904657,-9.76802217201756,0.01708,0.14904,0.14164000000000002,0.14751999999999998,0.32308
2024-10-27,280.171799430207,650.748750102227,246.934913306701,324.578071362006,338.543606811952,16.3636904729357,797.092963930899,-9.83640003204346,0.01708,0.14904,0.14164000000000002,0.14751999999999998,0.32308
