blend_id,API,Sulphur,crude_AGB,crude_BOL,crude_CJB,crude_WCD,crude_QUI,crude_AME,crude_FOR,crude_ABO,crude_OK2,crude_ESC,crude_BOC,crude_BRL,crude_AKP,crude_ASC,crude_AGO,crude_Total,crude_Gas & LPG,crude_Naptha ,crude_Kerosene,crude_Light Diesel,crude_Heavy Diesel,crude_RCO
CB01,34.4,1353.0,0.0,0.0,0.0,0.0,0.0,0.026595744680851064,0.07978723404255318,0.0,0.003324468085106383,0.09973404255319149,0.0,0.12632978723404256,0.0,0.0,0.0,0.3321143617021277,0.004986702127659574,0.06482712765957448,0.0511968085106383,0.04886968085106383,0.04820478723404255,0.11402925531914894
CB02,34.3,1355.9,0.0,0.0,0.0,0.0,0.0,0.026737967914438502,0.09024064171122995,0.0,0.0033422459893048127,0.08689839572192513,0.0,0.12366310160427807,0.0,0.0,0.0,0.3345588235294118,0.005013368983957219,0.06483957219251336,0.0518048128342246,0.049465240641711226,0.049131016042780744,0.11430481283422461
CB03,33.8,1365.0,0.0,0.0,0.0,0.0,0.0,0.01,0.13999999999999999,0.0,0.0033333333333333335,0.03,0.0,0.15,0.0,0.0,0.0,0.3333333333333333,0.004333333333333333,0.06366666666666666,0.052,0.050666666666666665,0.051,0.11166666666666668
CB04,35.2,1269.7,0.0,0.0,0.0,0.009966777408637875,0.0,0.0132890365448505,0.07641196013289038,0.0,0.00664451827242525,0.026578073089701,0.0,0.20265780730897012,0.0,0.0,0.0,0.33222591362126247,0.004651162790697675,0.06843853820598007,0.05481727574750831,0.04883720930232558,0.04850498338870432,0.10697674418604652
CB05,37.7,1093.6,0.0,0.0,0.0,0.006666666666666667,0.0,0.03666666666666667,0.08,0.0,0.12666666666666668,0.013333333333333334,0.0,0.06999999999999999,0.0,0.0,0.0,0.3333333333333333,0.006333333333333333,0.07733333333333334,0.05466666666666667,0.04766666666666666,0.04533333333333334,0.102
CB06,37.2,1193.8,0.0,0.06354515050167224,0.0,0.006688963210702341,0.0,0.023411371237458196,0.07023411371237458,0.0,0.08695652173913043,0.033444816053511704,0.0,0.04682274247491639,0.0,0.0,0.0,0.33444816053511706,0.00568561872909699,0.07826086956521738,0.0548494983277592,0.0471571906354515,0.044481605351170565,0.1040133779264214
CB07,38.2,1128.4,0.0,0.08662462661798871,0.0,0.003318951211417192,0.0,0.006637902422834384,0.023232658479920346,0.0,0.11284434118818452,0.043146365748423496,0.0,0.05974112180550945,0.0,0.0,0.0,0.33222701626286094,0.005974112180550945,0.08363757052771323,0.05476269498838367,0.04546963159641553,0.042150680384998335,0.10023232658479919
CB08,37.4,1234.7,0.0,0.09973404255319149,0.0,0.003324468085106383,0.0,0.003324468085106383,0.03324468085106383,0.0,0.10305851063829786,0.09308510638297873,0.0,0.0,0.0,0.0,0.0,0.3321143617021277,0.005651595744680851,0.07912234042553191,0.05385638297872341,0.04554521276595745,0.04188829787234043,0.10605053191489362
CB09,37.4,1267.3,0.0,0.08666666666666667,0.0,0.0033333333333333335,0.0,0.0033333333333333335,0.02666666666666667,0.0,0.11333333333333334,0.06,0.0,0.04,0.0,0.0,0.0,0.3333333333333333,0.005999999999999999,0.079,0.05366666666666667,0.04566666666666667,0.04699999999999999,0.102
CB10,37.0,1257.3,0.0,0.10096634455181605,0.0,0.0033322225924691767,0.0,0.0033322225924691767,0.033322225924691765,0.0,0.08997000999666778,0.10329890036654447,0.0,0.0,0.0,0.0,0.0,0.33288903698767075,0.005664778407197601,0.07764078640453181,0.053648783738753744,0.04565144951682772,0.04731756081306231,0.10296567810729755
CB11,37.2,1246.5,0.0,0.09544396408380444,0.0,0.0033255736614566014,0.0,0.016627868307283005,0.03325573661456601,0.0,0.08646491519787164,0.09976720984369802,0.0,0.0,0.0,0.0,0.0,0.3325573661456601,0.005986032590621882,0.07781842367808448,0.05387429331559694,0.04556035916195544,0.047223145992683735,0.10209511140671765
CB12,36.5,1323.6,0.0,0.12666666666666668,0.0,0.0033333333333333335,0.0,0.02,0.04,0.0,0.04,0.10333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.005666666666666667,0.07633333333333334,0.054,0.046000000000000006,0.04833333333333333,0.103
CB13,34.6,1459.8,0.0,0.07414829659318636,0.0,0.0,0.0,0.00334001336005344,0.03674014696058784,0.0,0.01336005344021376,0.18704074816299265,0.0,0.0167000668002672,0.0,0.0,0.0,0.3343353373413494,0.005344021376085504,0.06479625918503673,0.052438209752839006,0.0470941883767535,0.0501002004008016,0.114562458249833
CB14,34.2,1499.9,0.0,0.07357859531772576,0.0,0.0,0.0,0.0,0.03678929765886288,0.0,0.0,0.2040133779264214,0.0,0.016722408026755856,0.0,0.0,0.0,0.33444816053511706,0.005016722408026756,0.06287625418060201,0.052173913043478265,0.047157190635451506,0.05050167224080268,0.11672240802675585
CB15,36.1,1209.8,0.0,0.06426906426906427,0.10656010656010656,0.00333000333000333,0.0,0.01332001332001332,0.033300033300033303,0.0,0.02664002664002664,0.06660006660006661,0.0,0.01998001998001998,0.0,0.0,0.0,0.333000333000333,0.004995004995004995,0.07492507492507493,0.051615051615051616,0.049617049617049616,0.052614052614052616,0.09923409923409923
CB16,38.4,1088.2,0.0,0.04344919786096257,0.020053475935828877,0.0,0.0,0.016711229946524065,0.0066844919786096255,0.0,0.14371657754010694,0.08689839572192513,0.0,0.013368983957219251,0.0,0.0,0.0,0.3345588235294118,0.0066844919786096255,0.08689839572192513,0.04879679144385026,0.04612299465240642,0.047125668449197855,0.09893048128342245
CB17,37.9,1080.1,0.0,0.0,0.043333333333333335,0.0,0.0,0.006666666666666667,0.0,0.0,0.15333333333333335,0.11333333333333334,0.0,0.016666666666666666,0.0,0.0,0.0,0.3333333333333333,0.006333333333333333,0.08533333333333333,0.045000000000000005,0.04699999999999999,0.047999999999999994,0.10166666666666667
CB18,37.4,1131.8,0.0,0.0,0.04685408299866132,0.0,0.0,0.0,0.0,0.0,0.13721552878179383,0.13052208835341367,0.0,0.01673360107095047,0.0,0.0,0.0,0.3343373493975904,0.006358768406961178,0.0823293172690763,0.045180722891566265,0.04718875502008032,0.04852744310575636,0.10475234270414993
CB19,36.7,1185.8,0.0,0.0,0.04996668887408394,0.0,0.0,0.003331112591605596,0.0,0.0,0.10992671552298468,0.14990006662225183,0.0,0.019986675549633574,0.0,0.0,0.0,0.3334443704197202,0.005996002664890072,0.07861425716189206,0.04530313124583611,0.04763491005996002,0.049300466355762816,0.10659560293137907
CB20,36.7,1179.8,0.0,0.01300433477825942,0.05001667222407469,0.0,0.0,0.11337112370790264,0.0,0.0,0.0,0.13337779259753252,0.0,0.023341113704568192,0.0,0.0,0.0,0.33344448149383127,0.007002334111370457,0.07735911970656886,0.0470156718906302,0.048016005335111696,0.050683561187062354,0.10336778926308769
CB21,37.1,1157.2,0.0,0.02059800664451827,0.046511627906976744,0.0,0.0,0.132890365448505,0.0033222591362126242,0.0,0.0,0.12624584717607973,0.0,0.0066445182724252485,0.0,0.0,0.0,0.3318936877076412,0.007308970099667773,0.07906976744186045,0.046843853820598,0.047508305647840525,0.04983388704318936,0.10132890365448503
CB22,37.1,1161.6,0.0,0.020013342228152098,0.0466977985323549,0.0,0.0,0.133422281521014,0.0066711140760507,0.0,0.0,0.12341561040693795,0.0,0.00333555703802535,0.0,0.0,0.0,0.3332221480987325,0.007338225483655769,0.07905270180120079,0.04703135423615743,0.047698465643762504,0.050033355570380245,0.10206804536357571
CB24,34.1,1687.9,0.0,0.01,0.03666666666666667,0.0,0.0,0.043333333333333335,0.0033333333333333335,0.0,0.05333333333333334,0.06999999999999999,0.11666666666666665,0.0,0.0,0.0,0.0,0.3333333333333333,0.005333333333333333,0.06799999999999999,0.041666666666666664,0.04699999999999999,0.05566666666666667,0.11566666666666665
CB25,32.5,1958.6,0.0,0.0,0.0,0.0,0.0,0.0033444816053511705,0.0,0.0,0.07692307692307693,0.0903010033444816,0.16053511705685616,0.0,0.0,0.0,0.0,0.33444816053511706,0.0046822742474916385,0.06220735785953177,0.038461538461538464,0.045819397993311035,0.05719063545150502,0.12608695652173912
