date,Light_Diesel_to_DHT_Unit_Flowrate,Total_Kerosene_Product_Flowrate,Kerosene_to_Light_Diesel_DHT_Flowrate,Total_Atmospheric_Residue_Flowrate,Atm_Residue_to_RFCC_Unit_Flowrate,Atm_Residue_to_Storage_Flowrate,Total_Heavy_Diesel_Product_Flowrate,Total_Light_Diesel_Product_Flowrate,Crude_Column_Naphtha_to_SGCU_Flowrate,Heavy_Diesel_to_MHC_Flowrate,Atm_Residue_to_Storage_EE1027_Flowrate,Total_Stabilized_Naphtha_Product_Flowrate,Jet_Fuel_Product_Train1_Flowrate,Blend_Yield_Gas & LPG,Blend_Yield_Kerosene,Blend_Yield_Light Diesel,Blend_Yield_Heavy Diesel,Blend_Yield_RCO
2025-02-01,297.67008080349393,462.8943460545549,143.8555895801062,689.5964733237532,509.657729758371,135.40884462849934,378.27001681676796,369.68675958905334,500.56352777208116,394.73915744008997,7.022711934321541,695.2781124477941,446.0503826385763,0.023130434782608695,0.15343478260869564,0.1291304347826087,0.15143478260869564,0.31178260869565216
2025-02-02,312.6403550426794,494.7279461196404,143.8578544471611,776.7636227333325,501.27372377658406,202.60511553977685,409.38823824345343,424.7228576391002,553.1734747653537,404.91654262125957,22.21999887546915,739.6247416808712,459.2060584617448,0.023130434782608695,0.15343478260869564,0.1291304347826087,0.15143478260869564,0.31178260869565216
2025-02-03,313.8182976663773,501.31281088871697,143.86543618164416,891.7994242447954,604.8657669491208,211.8660021201805,435.657793700991,479.99181848980777,660.1848725656467,392.5981251834867,24.35706888144478,858.359497313558,471.3078073353828,0.023130434782608695,0.15343478260869564,0.1291304347826087,0.15143478260869564,0.31178260869565216
2025-02-04,233.33433441912615,398.8190383908668,143.86411894429278,990.9257442978175,658.1268798173668,288.4542379538755,465.4313270392072,478.4286135662798,588.4737524199761,429.46505702341426,14.165766454217431,773.8054270799594,379.15302859846656,0.023130434782608695,0.15343478260869564,0.1291304347826087,0.15143478260869564,0.31178260869565216
2025-02-05,170.41888453993056,348.91694644833,143.85668048087686,985.6185356611895,534.1870056132055,364.4762759535048,493.6652841816768,490.2761507081839,675.2838177539063,492.624905645256,25.901211966003466,892.0284324689069,332.9948261281684,0.023130434782608695,0.15343478260869564,0.1291304347826087,0.15143478260869564,0.31178260869565216
2025-02-06,220.15136550365307,297.8693390803038,143.85856888506927,755.8404346050361,447.6397699822273,219.6755716478588,457.26862693522133,444.4778763038044,636.0993939480252,422.5897022563088,20.60695973248572,869.5374165462608,281.1895698484765,0.023130434782608695,0.15343478260869564,0.1291304347826087,0.15143478260869564,0.31178260869565216
2025-02-07,293.0350279016565,255.51502201066054,143.85550136938184,695.9837111309578,398.68294539320226,215.58916225373446,424.5330065039062,417.5182096475139,630.8996356418186,389.2431371344392,19.343633918144224,842.2496904172016,239.7774984087109,0.023130434782608695,0.15343478260869564,0.1291304347826087,0.15143478260869564,0.31178260869565216
2025-02-08,283.49863385036895,280.00052887938165,143.87468225164017,752.7880888084645,207.35192719014486,446.07743626261396,472.8771301184534,448.89830906446446,690.2628172056749,434.30964156079983,26.884648673062948,919.3168659438644,263.51700903313764,0.023130434782608695,0.15343478260869564,0.1291304347826087,0.15143478260869564,0.31178260869565216
2025-02-09,263.961121015625,325.2678660518096,143.87321810504926,801.4335742286777,513.9370187527128,232.17999462881582,490.5124223517072,467.67889846771243,705.1516580544704,479.8963924033036,13.17833746851823,930.0901296855469,306.5900404080847,0.023130434782608695,0.15343478260869564,0.1291304347826087,0.15143478260869564,0.31178260869565216
2025-02-10,244.657017208478,409.4515084517674,143.86103535654217,841.2184764537159,599.8681472323933,184.80173364881728,516.5683914523654,478.9262665261969,722.0004168069119,495.1494118518486,13.182250084401204,939.5874292933499,388.98599794939093,0.023130434782608695,0.15343478260869564,0.1291304347826087,0.15143478260869564,0.31178260869565216
