blend_id,API,Sulphur,crude_WTI Midland,crude_BOL,crude_AME,crude_FOR,crude_ESC,crude_MERO,crude_YOH,crude_OKW,crude_Utapate,crude_Okono,crude_Total,crude_Gas & LPG,crude_Naptha ,crude_Kerosene,crude_Light Diesel,crude_Heavy Diesel,crude_RCO
CB25R,41.0,1210.0,0.20053475935828877,0.06684491978609626,0.013368983957219251,0.0,0.0,0.0,0.05013368983957219,0.0,0.0,0.0,0.3345588235294118,0.008689839572192513,0.07419786096256685,0.06684491978609626,0.03542780748663101,0.051470588235294115,0.097927807486631
CB26,41.0,1221.0,0.20387700534759357,0.06684491978609626,0.0033422459893048127,0.0,0.0,0.0,0.0066844919786096255,0.0,0.05013368983957219,0.0,0.3345588235294118,0.008689839572192513,0.07720588235294118,0.0661764705882353,0.03442513368983957,0.05013368983957219,0.097927807486631
CB27,42.0,1194.0,0.20319786808794138,0.0,0.0,0.0,0.033311125916055964,0.0,0.02331778814123918,0.0,0.07328447701532312,0.0,0.3334443704197202,0.007661558960692872,0.07828114590273151,0.07161892071952032,0.028647568287808126,0.04963357761492339,0.09760159893404398
CB28,41.0,1193.0,0.17666666666666667,0.0,0.0,0.0,0.05333333333333334,0.0,0.02666666666666667,0.0,0.07666666666666667,0.0,0.3333333333333333,0.007666666666666666,0.07633333333333334,0.071,0.028999999999999998,0.050666666666666665,0.09866666666666667
CB29,41.0,1251.0,0.1932045303131246,0.02331778814123918,0.0,0.0,0.04663557628247836,0.0,0.0,0.0,0.06995336442371752,0.0,0.3334443704197202,0.007661558960692872,0.07561625582944705,0.07061958694203864,0.028980679546968688,0.049966688874083946,0.10059960026648901
CB30,40.0,1221.0,0.17391304347826086,0.056856187290969896,0.0,0.0,0.030100334448160532,0.0,0.0,0.0,0.07023411371237458,0.0,0.33444816053511706,0.008361204013377926,0.07525083612040133,0.0709030100334448,0.029431438127090297,0.05083612040133779,0.09966555183946488
CB31,41.0,1345.0,0.23984010659560295,0.026648900732844774,0.016655562958027982,0.0,0.03664223850766156,0.0,0.013324450366422387,0.0,0.0,0.0,0.3334443704197202,0.007994670219853431,0.07295136575616257,0.0709526982011992,0.029313790806129246,0.04930046635576282,0.10293137908061294
CB32,40.0,1339.0,0.21404682274247494,0.06020066889632107,0.006688963210702342,0.0,0.03678929765886288,0.0,0.013377926421404684,0.0,0.0,0.0,0.33444816053511706,0.00802675585284281,0.07123745819397993,0.0705685618729097,0.030100334448160536,0.050836120401337795,0.1036789297658863
CB33,41.0,1164.0,0.17402945113788487,0.07028112449799197,0.02342704149933066,0.0,0.0,0.0,0.0033467202141900937,0.0,0.060240963855421686,0.0,0.3343373493975904,0.009036144578313253,0.08467202141900937,0.05622489959839358,0.03748326639892905,0.05321285140562249,0.09370816599732264
CB34,41.0,1175.0,0.16722408026755853,0.08361204013377926,0.026755852842809368,0.0,0.0,0.0,0.003344481605351171,0.0,0.05016722408026756,0.0,0.33444816053511706,0.009030100334448161,0.08327759197324415,0.056187290969899675,0.03812709030100335,0.053511705685618735,0.09431438127090301
Average,40.726470588235294,1248.1911764705883,0.1998390926394694,0.03069013559388552,0.039559663271913806,3.924569769039069e-05,0.029973901611035882,2.943427326779302e-05,0.01909303192637507,0.00013735994191636745,0.013245422970506857,0.00013735994191636742,0.3336276760660113,0.00827103078824984,0.0747336198269265,0.06612900060830831,0.036635858793979716,0.046878985891171676,0.10097918015737523
Unnamed: 36,,,,,,,,,,,,,,,,,,,
Unnamed: 37,,2025-07-01 00:00:00,0.30028896620864537,0.04611664799197972,0.05944447720705313,5.89726956419178e-05,0.04504039629651471,4.422952173143835e-05,0.028690216429793008,0.00020640443474671236,0.019903284779147254,0.0002064044347467123,0.5,,,,,,
