blend_id,API,Sulphur,crude_WTI Midland,crude_BOL,crude_AME,crude_FOR,crude_ESC,crude_MERO,crude_YOH,crude_OKW,crude_Utapate,crude_Okono,crude_Total,crude_Gas & LPG,crude_Naptha ,crude_Kerosene,crude_Light Diesel,crude_Heavy Diesel,crude_RCO
CB01,39.7,1251.6,0.14352469959946595,0.0,0.10347129506008011,0.0,0.08344459279038718,0.0,0.0,0.0013351134846461949,0.0,0.0,0.33411214953271035,0.00834445927903872,0.0657543391188251,0.07242990654205607,0.0397196261682243,0.044058744993324434,0.10380507343124165
CB02,40.6,1288.8,0.14705882352941177,0.0,0.09692513368983957,0.0,0.08689839572192513,0.0,0.0,0.0006684491978609626,0.0,0.0,0.3342245989304813,0.008021390374331552,0.06517379679144385,0.07219251336898395,0.03977272727272727,0.044451871657754015,0.10461229946524064
CB03,40.1,1191.5,0.16372124041347114,0.0,0.09836612204068022,0.001333777925975325,0.0693564521507169,0.0,0.0,0.0010003334444814939,0.0,0.0,0.33311103701233746,0.008336112037345782,0.06668889629876626,0.07235745248416138,0.03901300433477826,0.0436812270756919,0.10303434478159386
CB04,39.3,1399.4,0.2070116861435726,0.04674457429048414,0.00333889816360601,0.0,0.07011686143572621,0.0,0.0,0.001669449081803005,0.0,0.00333889816360601,0.333889816360601,0.0073455759599332215,0.07212020033388981,0.06110183639398998,0.04106844741235392,0.03739565943238731,0.11485809682804674
CB05,40.0,1385.3,0.23099999999999998,0.036,0.013,0.0,0.052,0.0,0.0,0.0,0.0,0.0013333333333333333,0.3333333333333333,0.007666666666666666,0.07433333333333333,0.06133333333333333,0.04033333333333333,0.03666666666666667,0.113
CB06,40.0,1431.9,0.2431712191872085,0.0,0.009993337774816787,0.0,0.0799467021985343,0.0,0.0,0.0,0.0,0.0,0.3334443704197202,0.007328447701532311,0.07361758827448367,0.060959360426382406,0.03997335109926715,0.03997335109926715,0.11159227181878748
CB07,40.0,1430.2,0.2431712191872085,0.0,0.009993337774816787,0.0,0.0799467021985343,0.0,0.0,0.0,0.0,0.0,0.3334443704197202,0.007328447701532311,0.07361758827448367,0.060959360426382406,0.03997335109926715,0.03997335109926715,0.11159227181878748
CB08,40.2,1422.9,0.25,0.0,0.01,0.0,0.07333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.007333333333333333,0.07433333333333333,0.06133333333333333,0.03966666666666666,0.03966666666666666,0.111
CB09,40.2,1420.4,0.247,0.0,0.013,0.0,0.07333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.007333333333333333,0.07433333333333333,0.06133333333333333,0.03966666666666666,0.03966666666666666,0.111
CB10,40.7,1416.8,0.26633333333333337,0.008333333333333333,0.008,0.0,0.049666666666666665,0.001,0.0,0.0,0.0,0.0,0.3333333333333333,0.007666666666666666,0.07266666666666667,0.06266666666666666,0.041666666666666664,0.039,0.10966666666666668
CB11,41.8,1258.5,0.258,0.007,0.008333333333333333,0.0,0.004,0.0,0.05533333333333334,0.0,0.0,0.0,0.3336666666666667,0.008,0.077,0.06466666666666666,0.041666666666666664,0.03966666666666666,0.10266666666666667
CB12,41.3,1299.8,0.2602602602602603,0.02235568902235569,0.0,0.0,0.01001001001001001,0.0,0.04004004004004004,0.0,0.0,0.0,0.33366700033366703,0.0076743410076743415,0.07574240907574241,0.06406406406406406,0.04170837504170838,0.04170837504170838,0.10276943610276944
CB13,41.1,1232.1,0.21652231845436376,0.033311125916055964,0.056628914057295136,0.0,0.006662225183211192,0.0,0.019986675549633574,0.0,0.0,0.0,0.3334443704197202,0.00866089273817455,0.07894736842105263,0.06329113924050632,0.04030646235842771,0.04230512991339107,0.09993337774816788
CB14,41.1,1246.9,0.21926910299003322,0.03322259136212625,0.05647840531561462,0.0,0.009966777408637873,0.0,0.016611295681063124,0.0,0.0,0.0,0.3322259136212624,0.008637873754152823,0.07840531561461793,0.0627906976744186,0.04019933554817275,0.04219269102990033,0.09999999999999999
