date,Train_A_Raw_Crude_Flow,Train_B_Raw_Crude_Flow,Raw_Crude_Pump_Discharge_Flow,Rich_Sponge_Oil_Flash_Drum_Bottoms_to_CDU,Rich_Gas_Knockout_Drum_Liquid_to_CDU
2025-07-01,1913.6552621743965,1772.0921956236546,3657.521529423546,19.0315430776339,0.6965873837471008
2025-07-02,1919.8196673145492,1770.91949468836,3660.569263936908,19.70943611977447,0.6965873837471008
2025-07-03,1908.583162014532,1768.2486991306096,3638.5467281612327,19.550869051423838,0.6965873837471008
2025-07-04,1920.309936124492,1777.5601974575002,3656.739562194771,20.41208500427719,0.6965873837471008
2025-07-05,1929.0345049058715,1787.33913466365,3675.925098568868,20.17734569148874,0.6965873837471008
2025-07-06,1930.269245307887,1789.0742203364118,3679.722777492175,19.627999303734896,0.6965873837471008
2025-07-07,1931.566151147005,1785.0252978948915,3677.2812260869946,19.27227077811495,0.6965873837471008
2025-07-08,1930.9411338403356,1785.467659577758,3679.3640597737467,18.980932794442378,0.6965873837471008
2025-07-09,1922.1282684507014,1778.9910953700987,3660.285399330471,20.207702284894566,0.6965873837471008
2025-07-10,1926.7732138867264,1781.7165740416917,3668.621433153462,19.228785344112882,0.6965873837471008
2025-07-11,1933.5305130815161,1787.4404182267958,3680.9647081342814,18.522234318174387,0.6965873837471008
2025-07-12,1929.6933487194356,1790.8028187091484,3680.788638847474,19.255018080449275,0.6965873837471008
2025-07-13,1852.2677512531734,1707.9586348459852,3516.2890469785584,20.20442822923351,0.6965873837471008
2025-07-14,1590.825790518217,1436.2425793224245,2972.3908149998083,21.507022810855624,0.6965873837471008
2025-07-15,1657.9349046283567,1500.3510924019138,3111.177651512132,20.952474048866414,0.6965873837471008
2025-07-16,1755.7684912279337,1604.9968763455058,3323.099845248621,19.760437938532668,0.6965873837471008
2025-07-17,1798.7934505439089,1646.1352975128927,3398.8811499665476,19.845400709373244,0.6965873837471008
2025-07-18,1894.5944134847045,1744.3692450963015,3595.7516787393315,19.960424053147474,0.6965873837471008
2025-07-19,1908.2662005700975,1760.6627231883929,3626.6211668033548,20.744799286694725,0.6965873837471008
2025-07-20,1757.8366963008941,1589.767320071532,3295.025321464514,22.468598235695886,0.6965873837471008
2025-07-21,1479.1462310921133,1307.4757736609977,2716.6475438288358,21.407665861067592,0.6965873837471008
2025-07-22,1539.410844455655,1363.8028825952695,2842.0041760482172,23.129654683520744,0.6965873837471008
2025-07-23,1541.1425006996903,1366.1436199531827,2840.832972008998,20.549317835663434,0.6965873837471008
2025-07-24,1529.5539480718287,1371.6743529480023,2834.7145600420863,21.869891968128055,0.6965873837471008
2025-07-25,1535.3533700522592,1371.7613225440455,2840.2762959945094,21.670792154771323,0.6965873837471008
2025-07-26,1654.9783518139545,1500.0247009601528,3096.9897496855097,20.687432768183328,0.6965873837471008
2025-07-27,1730.9626603645827,1579.6591859821522,3258.5790546316157,21.610800562353802,0.6965873837471008
2025-07-28,1715.7123878536354,1563.5810395514352,3226.6136788416243,22.085534699232273,0.6965873837471008
2025-07-29,1696.2779392752652,1546.932061663532,3188.840641920026,22.37017496061203,0.6965873837471008
2025-07-30,1711.4810096301712,1546.5142341446851,3203.361684084737,20.79287025029722,0.6965873837471008
2025-07-31,1746.2853080175864,1589.5812648517115,3283.0328170038315,21.23695627488843,0.6965873837471008
