blend_id,API,Sulphur,crude_AGB,crude_BOL,crude_CJB,crude_WCD,crude_QUI,crude_AME,crude_FOR,crude_ABO,crude_OK2,crude_ESC,crude_BOC,crude_BRL,crude_AKP,crude_ASC,crude_Total,crude_Gas & LPG,crude_Naptha ,crude_Kerosene,crude_Light Diesel,crude_Heavy Diesel,crude_RCO
CB27,36.8,0.1,0.008002667555851951,0.06668889629876626,0.0,0.07002334111370456,0.0,0.0,0.0,0.0,0.03334444814938313,0.1533844614871624,0.0,0.0,0.0023341113704568187,0.0,0.3331110370123374,0.0040013337779259755,0.06468822940980326,0.05568522840946982,0.04868289429809936,0.03867955985328443,0.12137379126375458
CB28,38.3,0.1,0.006664445184938354,0.05998000666444518,0.0,0.07664111962679107,0.0,0.0003332222592469177,0.0,0.0,0.03332222592469177,0.15328223925358214,0.0,0.0,0.003332222592469177,0.0,0.33322225924691773,0.004998333888703766,0.07097634121959347,0.059646784405198265,0.0489836721092969,0.039320226591136286,0.10929690103298902
CB29,38.2,0.1,0.013385387618516452,0.11154489682097044,0.0,0.11712214166201895,0.0,0.0,0.0,0.0,0.05577244841048522,0.256553262688232,0.0,0.0,0.003904071388733965,0.0,0.22085889570552147,0.008365867261572782,0.11154489682097044,0.10094813162297823,,,
CB03,38.2,0.1,0.0,0.006004002668445629,0.0,0.12708472314876584,0.0,0.0,0.001667778519012675,0.0,0.019679786524349565,0.07171447631754502,0.0,0.1067378252168112,0.00066711140760507,0.0,0.3332221480987325,0.0050033355570380245,0.06637758505670446,0.05937291527685123,0.04836557705136757,0.040026684456304196,0.11407605070046697
CB04,39.9,0.1,0.0,0.017316017316017316,0.0,0.12687312687312688,0.0,0.10522810522810525,0.0009990009990009992,0.0,0.012654012654012656,0.0695970695970696,0.0,0.0,0.0006660006660006661,0.0,0.3333333333333333,0.006993006993006994,0.0725940725940726,0.05827505827505828,0.04728604728604729,0.03663003663003663,0.11155511155511158
CB05,39.0,0.1,0.0,0.014656895403064623,0.0,0.08194536975349767,0.0,0.10526315789473685,0.0,0.0,0.0,0.04630246502331779,0.0013324450366422385,0.08361092604930047,0.0,0.0,0.3334443704197202,0.0066622251832111935,0.07061958694203864,0.060293137908061296,0.04930046635576282,0.03930712858094604,0.10726182544970021
CB06,39.1,0.1,0.0,0.017333333333333333,0.0,0.08,0.0,0.10533333333333333,0.0,0.0,0.0,0.04633333333333334,0.0,0.08366666666666667,0.0006666666666666666,0.0,0.3333333333333333,0.006666666666666667,0.071,0.06033333333333333,0.04933333333333333,0.03933333333333333,0.10666666666666667
CB07,39.8,0.1,0.0,0.018327224258580473,0.0,0.1276241252915695,0.0,0.08930356547817395,0.002999000333222259,0.0,0.03032322559146951,0.06264578473842053,0.002332555814728424,0.0,0.0,0.0,0.33322225924691773,0.006664445184938354,0.07230923025658115,0.05831389536821059,0.047317560813062313,0.036654448517160945,0.11196267910696435
CB08,40.4,0.1,0.0,0.020993002332555816,0.0,0.09463512162612463,0.0,0.17060979673442186,0.002999000333222259,0.0,0.0,0.042652449183605466,0.0016661112962345886,0.0,0.0,0.0,0.33322225924691773,0.008330556481172943,0.0753082305898034,0.05898033988670443,0.04798400533155615,0.036654448517160945,0.10596467844051984
CB09,41.2,0.1,0.0,0.02331778814123918,0.0,0.11025982678214526,0.0,0.1775483011325783,0.0013324450366422385,0.0,0.0,0.01865423051299134,0.001998667554963358,0.0,0.0,0.0,0.3334443704197202,0.008660892738174551,0.07828114590273151,0.05996002664890074,0.04730179880079947,0.03597601598934044,0.10326449033977349
CB10,41.9,0.1,0.0,0.024983344437041973,0.0,0.12591605596269154,0.0,0.17988007994670221,0.0,0.0,0.0,0.0,0.0023317788141239176,0.0,0.0,0.0,0.3334443704197202,0.00899400399733511,0.08061292471685544,0.060293137908061296,0.04696868754163891,0.03530979347101932,0.10126582278481013
